tokenized_and_stemmed,tweet_english,klasifikasi
nah makanya ngejelasinnya diromantisasi bilang tiap tahun dapet hasil pahala insyaallah bakal ngalir terus petenteng ngakuin kalau jalan punya ya semacemnya gitu sampein soal ikn dibatalin ya sama anies ganti 40 kota bakal ditingkatin,"well, that's why explaining it is romanticized, saying that every year you get the reward, god willing, it will flow, and then the petenteng admits that if the road has it, it's like that, until the fish issue is canceled, yes, with anies, 40 cities will be increased.",Positif
hack akun orang berapa bang resah sekali korban tipu khusus nya perempuan,"how many people's accounts are hacked? how worried are the victims of fraud, especially women?",Positif
emg salah prof mahfud mah malah bilang ikn investor sama sekali pdhl ada dari swasta kayak kamu asal deh,"it's really prof. mahfud's mistake to even say that there are no investors at all, even though there are private companies like you, that's okay.",Positif
bro anies update tuh kata mau lanjut ikn lagi bangun ikn dosa jadi ngga perlu bawa2 tobat wkwk,"bro, anies, update, he said he wanted to continue, i'm awake, i'm a sin, so i don't need to bring repentance hahaha",Positif
ganjar mau komitmen lanjut bangun ikn lanjut bangun sdm mental anak bangsa program3 masuk akal ingat hutang negara makin tinggi negara perlu hemat program lebih manfaat,"rewards, want commitment to continue building ikn, continue building the mental resources of the nation's children, program3 makes sense, remember that the national debt is getting higher, the country needs to save on programs that are more beneficial",Positif
1 meski cak imin saya kurang pilih cak imin pkb bisa anggap remeh punya suara nu 2 nasdem pkb soal ikn karna situasional realistis siapa yang mau invest ikn mau dipaksain 3 mereka hormat konstitusi,"1 even though cak imin i don't really choose cak imin pkb, i can take it for granted that i have a vote. 2 nasdem pkb is about ikn because of the realistic situation, whoever wants to invest in ikn wants to be forced to do so 3 they respect the constitution",Positif
no no apa yang bawa ikn karna highly cost no kalo sekarang lagi gua kalo nang darah nang gua plis plis plis nonton video jelas rk soal ikn youtube media center indonesia maju i am begging you,no no no what to bring fish because it's very cost no if now i'm going to have blood on me please watch a clear video about fish youtube media center indonesia advanced i am begging you,Positif
anies soal milih wakil leluasa usung ubah amp tolak ikn nasdem amp pkb tuju ae tuh ikn cak imin dukung jokowi 3 periode surya paloh kalau konstitusi mungkin juga bakal usung jokowi,"anies on the issue of electing representatives is free to push for changes & rejects the national democratic party and the pkb, i want to support jokowi for 3 terms, surya paloh, if there is a constitution, maybe jokowi will also be promoted",Positif
jelas first ikn the biggest problem nambahin utang negara jelas kalian mau pajak makin tinggi karna yang subsidi tidak jadi subsidi amin sini jelas sikap misi,"it's clear, first, the biggest problem is increasing the national debt. it's clear that you want higher taxes because subsidies don't become subsidies, amen. this is a clear mission stance.",Positif
ikn jadi pusat kembang budaya maju,ikn has become a center for the development of advanced culture,Positif
kalo orng paham skala prioritas bisa terima mudah kak tuh balas twit aku ttg urgensi ikn tetep bisa masuk dekat analisanya beda,"if people understand the priority scale, they can easily accept it, bro, reply to my tweet about fish urgency, it can still be included in the analysis, it's different.",Positif
the downfall of ikn usul lahan bangun sdh lanjur bangun jadi pusat teliti pangan hutan dunia lebih manfaat,the downfall of ikn's proposal for land to be built has become a world forest food research center with more benefits,Positif
gimana jelasinnya simpel kalau jelas ikn sudah anggar uunya ubah proyek tol baru mau bebas lahan  soal mungkin bawa teknis keburu jenuh ,"how can you explain it simply, if it's clear that the law has already been budgeted for changing the new toll road project to free up land, the problem is that it might lead to technical boredom.",Positif
justru ikn cpt progressnya memek istilah kata kerjasama antar negara kata jual negara gabisalah orang investasi nama yang puterin uang macam freeportlah kalo mau tunda tunda mau gimana anis mau lanjutin ikn masa ente ikut gsetuju,"in fact, ikn is progressing quickly, the term for cooperation between countries, the words selling the country, can't be done by people who invest in names that make money like freeport. if you want to postpone, what do you want to do, what do you want to do? if you want to continue, i agree.",Positif
kalau sy-nya paham cara pribadi malah lebih pesimis serta modal dari nggak jelas nggak paham psn kalau jelas ikn yang uu ubah cuma tol  situ sy langsung back down ,"if i understand personal methods, i'm even more pessimistic and i don't understand capital if i don't understand psn. if it's clear that what you're changing is just tolls, i'll immediately back down.",Positif
alas lengkap tuhh karena rencana mau lanjutin ikn kenapa anies mohon jelas,"the reason is complete, because the plan is to continue, why anies, please explain",Positif
kyknya orang indon uda ikhlas kalo food estate 2 0 uu ite 2 0 5subsidi bbm sama gas cabut pajak motor dinaikin buat tambal lrt kereta cepat ikn naikin gaji jabat program susu 400t yang ptg prabs presiden soal gemoy kasi,it seems like indonesians are willing to accept food estate 2 0 uu it,Positif
wkwkwk proyek rentan ladang korupsi lah otak kamu kan nyampe 40 kota udh hanya tinggal kembang lebih rata se indonesia krana memang udh banyk duduk situ ikn hutan belantara cm berapa duduk sana,"wow, the project is vulnerable to corruption, your brain has reached 40 cities, and it's only growing more evenly throughout indonesia, because there are already a lot of people sitting there, like wilderness, how many people are sitting there?",Positif
wkwkwk diitung sama ikn kata siapa anak ekonomi kan ya paham renstra ikn paham alur dana ikn fokus bahas masalah utang puluh ribu eh dibandinginnya sama ikn mosok akademisi asal nyeletuk opini kosong gin,"hahaha, if you count it the same way, who said economics kids understand strategic planning, understand the flow of funds, focus on discussing tens of thousands of debts, eh, compared to ikn, you're a mockery of academics just spouting empty opinions, right?",Positif
ganjar jelas komitmen terus ikn bansos luas prabowo-gibran solusi lanjut negeri ini,reward clearly prabowo-gibran's continued commitment to broad social assistance for further solutions in this country,Positif
ubah mana ganjar terus ikn bansos makin luas pilih cerdas lanjut nyata,"change the rewards and get wider social assistance, choose smart and real",Positif
kait isu global warming tentu ikn hrs dukung bgm bangun kota konsep ecogreen dlm infrastruktur gedung jalan sedia energi air bersih jaga udara lingkung kelola limbah dan kalah penting penabganan sdm,"related to the issue of global warming, of course we have to support how to build cities with an ecogreen concept in building infrastructure, roads, energy, clean water, maintaining environmental air, managing waste and the importance of human resource savings.",Positif
asal njeplos gatau arah ron nusron jelas ubah indonesia lebih baik maju lanjut ikn lanjut bansos sesuai bukan malah rang,"as long as it's clear, i don't know if ron nusron's direction is clear to change indonesia, it's better to move forward, continue social assistance according to not even rang",Positif
mbah bilang ubah ganjar tetap konsisten terus ikn bansos malah tambah cakup lanjut bisa andal,mbah said that changing the rewards remains consistent and the social assistance becomes even more comprehensive and can be reliable,Positif
tmn2 untung udh banyak golput bbrp 03 anti anies golput ini politik sama meski anies non partai lanjutin ikn logika makan ikn simbol baik perata anies too good to be true bisa jadi evil cont,"tmn2, fortunately, there have been a lot of abstentions, some 03 anti-anies abstentions, this is the same politics even though anies is a non-party, continue ikn logic eating ikn symbols both perata anies too good to be true could be evil cont",Positif
aku 99 asal jawa dom jakpus jg k l pusat kloter 1 pindah ikn aku sih msh tolak realita mau pindah  mutualan bole lah,"i'm 99 from java and jakarta, also at the center of group 1 i'm moving, but i'm still rejecting the reality of wanting to move mutually, that's fine.",Positif
ganjar memang pilih tepat komitmen terus ikn bansos tetap jalan bahkan tingkat lanjut kita butuh,"reward is indeed choosing the right commitment to keep the social assistance going, even at the advanced level we need",Positif
ubah mana benar ron nusron ganjar-mahfud justru lanjut ikn lanjut bansos kurang,"change, where is it true that ron nusron ganjar-mahfud actually continues, ikn continues, social assistance is lacking",Positif
bandingin sama internet cobak banding sama ikn penting mana,"compare it with the internet, try to compare it with which information is important",Positif
moga ada jegal kampanye harap ikn kelak bangun bangsa sendiri anak2 nanti bangun perlu keburu2 bangun sdm dulu,"i hope there will be failures in the campaign. i hope that in the future we will build our own nation. when the children wake up, they need to hurry up and build their education first",Positif
ikn gk urgent usah kesusu bangun sendiri ikn saat generasi kita telah siap usah ngandalin investor,"it's not urgent, you don't have to worry about building it yourself, but when our generation is ready, you don't have to rely on investors",Positif
titip tanya pak atas dasar saudara gibran percaya kalau ikn bentuk program perata adil indonesia,"just ask, sir, because brother gibran believes that this is a form of indonesia's fair leveling program",Positif
debat cawapres sebentar tema sda sdm lingkung hidup masyarakat adat request dong cawapres2ku tema pas banget disangkungin sama sejahtera rakyat ikn utama buat cak imin bisa buat counter masalah tumpeng kemaren tuh,"short cawapres debate, the theme of natural resources and human resources, the environment of indigenous peoples, please request my cawapres, the theme is really fitting to be aligned with the welfare of the people, the main topic for cak imin can make a counter to yesterday's tumpeng problem.",Positif
izin tambahin kak uu ikn buat konsultasi dng publik investor jg udh ragu awal kait ikn sumber aku tonton tom lembong prnh jadi tri dagang indonesia amp kepala bkpn in case ragu orang ngmgnya cmiiw,permission to add sis uu ikn for consultations with the investing public also had doubts at first about ikn source i watched tom lembong previously became tri trade indonesia & head of bkpn in case of doubt people said cmiiw,Positif
yakin ikn kka,"i'm sure, bro",Positif
diitung sama ikn wkwk,it counts the same way hahaha,Positif
soal ikn kita banding skala prioritas anggar besar agak lebih baik bangun jalur transportasi luar jawa kembang kota lain agar dapat bangun rata bangun kota baru 0,"regarding fish, let's compare the priority scale, it's better to build transportation routes outside java, develop other cities so that we can build new cities evenly 0",Positif
masyarakat sana lelah terus sampai resah milik lama bangun ikn sayang sekarang belum temu titik terang lengkap baca bawah ini,"the people there are constantly tired to the point of being anxious about the old property of waking up, but it's a shame that now they haven't found a complete bright spot, read below",Positif
hal tarik bisa ulik topik2 kali salah satu bangun ikn emang sih,it's an interesting thing to be able to change topics every time one of them really wakes up,Positif
q kontra ikn a bukan aku jawa-sentris aku paham di jawa butuh infrastruktur cuman mending bangun kota udah saja ngapain bangun kota baru 0,"q cons i'm not java-centric, i understand that java needs infrastructure, but it's better to just build a city, why build a new city? 0",Positif
pak ganjar kan komitmen rua ikn jadi jangan mengada2 mulu ye,"sir, i will reward rua ikn's commitment, so don't make things up, okay?",Positif
pak ganjar komitmen lanjut ikn lanjut bansos ubah ndas mu ubah,"sir, reward your commitment to continue social assistance, change your ndas, change it",Positif
pak ganjar masihh komitmen terus ikn bansos ubah ndasmu,mr gangar is still committed to continuing social assistance to change your ndas,Positif
klo masalah proyek infrastruktur sebenernya anies jg pny proyek infrastruktur ngembangin 40 kota udah dan efek jauh lebih masif dri ikn ekonomi karena ada pusat ekonomi baru,"in terms of infrastructure projects, anies also has infrastructure projects to develop 40 cities and the effects are much more massive than economic ones because there are new economic centers",Positif
kalo sih lebih jelas ttg perata bangun 40 kota tara jkt mana d rasa sama rakyat di lihatin rekam jejak pak anis pas d jkt udah bangun trus ikn cmn d satu tmpt saja yang nikmat bukan rakyat dana gede bgt,"if it's clearer about the leveling of the 40 cities of tara, jkt, where the people feel, look at mr. anis's track record when jkt has built it and then just putting it in one place is delicious, not the people, the funds are really big.",Positif
sampai lapang sepakbola ikn 8 biji ikn lebih bagus bikin bagi 8 lapang sepakbola tsb provinsi2 main langgan masuk timnas,"up to the ikn football field, 8 ikn seeds, it's better to share the 8 football fields for the provinces to play and join the national team",Positif
alil pas udah nyampe jkt liat postingan star tidak ken balik ke pesawat  udah bawain fron ikn nyata keduluan tiktok shop ,"alil, when i arrived in jakarta, saw star's post, i didn't want to get back on the plane, i brought the real ikn front first, tiktok shop",Positif
jadi kalo bom baik tunggu gabisa lah masing2 pegang kartu as terus2an musuh ikn depan mata infrastruktur proyek paling becyek buat korup proyek ribu triliun ughh masa yang mau tinggal gerudukan,"so, if the bomb is good, you can't wait, you can't each hold an ace card, the enemy will always be right in front of your eyes, the worst project infrastructure for corrupting the thousand trillion project, ughh, who wants to just muddle along?",Positif
kalo sih lebih ikn rasa bukan rakyat biaya nya gede banget lebih baik dana nya buat perata bangun 40 kota yang tara jakarta d jaman pak anis,"if you don't feel like it's the people, the costs are really big, it's better if the funds are used to level the 40 cities that were in jakarta during pak anis' era.",Positif
ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis ganjar-mahfud lanjut bansos menggurang justru tambah cakup,reward commitment to continue ikn continue social assistance,Positif
surya paloh maupun cak imin bagi rezim bilang pion jokowi jg asli anies jadi jg ikn mah ttp jalan program2 strategis nasional lain jg jelas beda mah porsi bagi2 jabat macem bakal metri nasdem pks pkb timsesnya,"surya paloh and cak imin for the regime say that jokowi's pawn is also from anies, so it's also true that the implementation of other national strategic programs is also clearly different, the portions for various positions will be the nasdem pks pkb timses",Positif
ubah mbah ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis ganjar-mahfud lanjut bansos menggurang justru tambah cakup,change mbah reward commitment continue ikn continue social assistance nusron says reallocate social assistance funds for free meals gangar-mahfud continue social assistance reduces but actually increases coverage,Positif
ubah mbah mu pak ganjar komitmen terus ikn masih lanjut bansos kurang justru tambah cakup,"change your sis, sir, reward your commitment and continue, but the social assistance continues to be less than it is, in fact, it is becoming more comprehensive",Positif
makan siang gratis ajar dana 400t per tahun belanja negara 2023 3000t mau ngambil sektor mana tahan jamin naek why anggar kemenhan tinggi dia jabat bom anggar ikn,"free lunch and teaching fund 400t per year state expenditure 2023 3000t what sector will you take, guarantee it will increase why is the ministry of defense fencing high, he holds the ikn fencing bomb",Positif
nambah utang lagi impor sapi mikir ikn lagi giant sea wall ya,"add more debt to import cattle, think about giant sea wall fish again",Positif
lama ikn amp kcic mau dijalanin terus siap2 ngelihat kacau akademik ptn kaya gin terus,it's been a long time since i've been running kcic and i'm ready to see ptn's academic chaos like gin continues,Positif
soal ikn blh banget orang mikir kalo ikn program bagus maslahat bangsa ketika prioritas mundur sama gimana cara yakin orang kalo dinasti perintah skrg bagus karena imej mata dukung udah kayak kerja tuhan,"regarding fish, people really don't think that fish is a good program for the benefit of the nation when priorities are set aside, how can people be sure that the current ruling dynasty is good because the image of the people supporting it is like the work of god",Positif
kayak turut bakal lebih bijak deh biss buat politis entah ikn cemar udara kalo konsrrvasi aku pribadi bakal jarang bahas ya,"it seems like it would also be wiser for politics, whether it's air pollution or conservation, i personally would rarely talk about it, right?",Positif
rakyat pulau kalimantan dukung ikn arti rakyat nya terasut kelompok elit elit jahil ada pusat pulau jawa bangga 78 thn indonesia merdeka jadi pulau kalimantan jadi ikn indonesia timur thn 2024 hutri 79 upacara ikn,"the people of the island of kalimantan support ikn, which means that the people are part of the elite group, the ignorant elite, there is a center on the island of java, proud of 78 years of indonesia's independence, so the island of kalimantan becomes ikn, east indonesia in 2024, hutri 79, ikn ceremony",Positif
smg ikn lanjut pak ganjar 2 kali dukung bapak kali harus dukung ganjar akhir jabat bapak nampak jalan spt dulu sangat sayang,"i hope you will continue sir, reward twice, support you, sir, you have to support the reward at the end of your term, sir, you seem to be walking like before, very dear",Positif
masyarakat dayak dukung ikn panglima jilah sampai harap tinggi prabowo lanjut presiden jokowi,"dayak people support ikn panglima jilah until prabowo has high hopes, continued president jokowi",Positif
bandingin gitu ki si investor ikn keluar masuk juang demokrasi sungguh,"compare that to how investors are in and out of the struggle for democracy, really",Positif
lah buka jg ganjar komitmen terus ikn wkk,"open it and reward continued commitment, okay?",Positif
400t buat makan siang duit dri cuma jadi ngutang bengkak blum ngrus ikn jelas mnding 40 kota bangun ekonomi kalau trwujud smua kota ngehasilin uang buat warga skitar bangun kota hrus infrastruktur kamu tenaga buku ajar dri pusat pada pinter,"400t for lunch, the money from it is just a big debt, it hasn't been taken care of, it's clear that 40 cities will build the economy if it happens, all the cities will make money for local residents, building the city must have your infrastructure, textbooks from the center will be smart",Positif
tanya maruarar uang darimana dapetin proyek ikn itu jadi menteri kaya dadak yang tau  jokowi efek,maruarar asked where he got the money from for the fish project and suddenly became a rich minister who knew jokowi's effects,Positif
singgung 1 ikn kata simbol perata kalimantan butuh simbol transportasi 2 kalo perata bangun kalimamtan yang bangun bangun jalur kereta tiap pulau bukti mainland efektif perata logistik,"tangent 1 ikn words kalimantan leveling symbols need transportation symbols 2 if the leveling system is built in kalimantan, those who build train lines for each island are proof that the mainland is effective in logistics leveling",Positif
kena buai mimpi ikn paling,i got to lull my dream the most,Positif
do i ngarep banget jadi ketua otorita ikn,i really hope to become chairman of the ikn authority,Positif
nonton desak anies bang anies tanya soal proyek sekarang jalan masuk ikn jawab tidak 100 henti atur skala prioritas nya dia lebih prioritas sehat didik lapang kerja pokok 40 kota dipush,"watch urgent anies, bang anies, ask about the current project, enter, answer no, 100 stop, set the priority scale, he prioritizes, healthy, education, field, basic work, 40 cities pushed",Positif
kmi milih jokoei jgn sok tau  kmi asli milih jokiwi kmi dibooongin mknya skrg sadar sadar sadar kmi skrg anis kren lihat program klau jkiwi lgi ikn ikn ikn ikn ikn siang mlm rakyat bengkalai skrg smua anis,"we chose jokoei, don't pretend to know, we really chose jokiwi, we were fooled, now we're aware, we're aware, now we're cool, look at the program, if jkiwi is going to be playing ikn ikn ikn, afternoon and evening, people are ignoring now, all anis",Positif
kalau saya ikn akan jadi tempat jokowi senang senang anak jadi wapres,"if i did, it would be a place where jokowi would be happy if his son became vice president",Positif
gue mikir kalo memang bpak kosong satu naik trus ikn dilanjutin pdhl udh tengah jalan bayang biaya udh dikeluarin buat ngebangun ikn bnr bnr ditelantarin sia sia gtu aja,"i think that if it's empty, just one ride and then it continues even though it's already in the middle of the road, i imagine the costs have already been paid to build it, but it's really just been abandoned for nothing.",Positif
sahkan dulu debat kemudian tuju gontok2an anak bangsa ikn omnibus law uu kpk uu mk psi paham kayak begini tau tegak lurus sama jokowi tidak peduli salah benar yang penting jokowi,"validate the debate first, then aim for mutual discussion among the nation's children, ikn omnibus law uu kpk uu mk psi, understand like this, know that you are perpendicular to jokowi, it doesn't matter if it's wrong, it's right, the important thing is jokowi",Positif
mohon kuat konsep ikn kait kelola lh agraria dlm kembang huni infrastruktur dukung aktifitas masyarakat ikn ipoleksosbud masa yad 03 lanjut ikn,please be strong in the concept of ikn relating to agrarian management in kembang libi infrastructure supporting community activities ikn ipoleksosbud masa yad 03 continued ikn,Positif
ga jadi pindah ikn kalo cuaca keren begini,don't move fish when the weather is cool like this,Positif
bener banget bff  sibuk ngurusin ikn ikat kepompong nasional,it's true that bff is busy taking care of the national cocoon-tying fish,Positif
jokowi sebentar henti ikn baru mulai memang jokowi mau jabat berapa preode lagi,"jokowi stopped for a while and then started, how many more years does jokowi want to serve?",Positif
buat ikn makan siang gratis lebih baik ,make free lunch better,Positif
sangat jelas ikn bukan bagi visi-misi bukan janji politik jokowi ikn program ujuk rencana pada,"it is very clear that ikn is not part of jokowi's vision and mission, not jokowi's political promises, ikn is a program for implementing plans",Positif
siap ikn ,ready ikn,Positif
deket banget sama ikn,very close to fish,Positif
ah makasih koreksi my bad contoh poin 1 kurang tepat contoh lebih tepat mungkin kait tinjau ulang ikn kaji tahan bilang ikn masuk grey zone modernisasi alutsista bangun ikn sama berat anggar,"ah, thanks for correction, my bad example point 1 is not quite right, the example is more accurate, maybe the link is to review the ikn, review it, say ikn is in the gray zone, modernize defense equipment, build ikn with the same weight as fencing",Positif
ikn jauh bgd,it's really far away,Positif
kalau takut menteri mundur gerus suara prabowo coattail jokowi --- jokowi hilang wibawa dua menteri ikn banget mundur prabowo gibran layak 1 kelola apbn 2 layak bangun infrastruktur logika sederhana karena prabowo manfaatin coattail jokowi,"if you are afraid that the minister will resign, it will destroy prabowo's voice. jokowi's coattail --- jokowi will lose his authority. two ministers will really resign. prabowo gibran is worthy of 1 managing the apbn. 2. worthy of building simple logical infrastructure because prabowo is taking advantage of jokowi's coattail.",Positif
atas aku bilang dukung 02 cuma bilang ikn bagus ini jawab truly omong kosong wlw gitu aku tetep tatap mata coba dengerin sampe naluri aku bicara apa pasti tau sampai engga banget akhir dia alih pmbicaraan,"above i said support 02 just said this is a good fish, the answer is truly bullshit but that's how i kept eye contact trying to listen until i instinctively said what would i know until it wasn't really in the end he changed the conversation",Positif
lepas pro amp kontra ny ikn keren bnr sumpah nyr tepost krena td hbs btre,"regardless of the pros and cons, it's really cool, i swear i didn't post it because it didn't last long",Positif
dosa besar pak lurah lama 10 tahun 2 periode jabat presiden indonesia 1 uu ite 2 omnibus law uu cipta kerja 3 proyek kereta cepat jakarta-bandung 4 proyek ikn 5 naik pajak negara 6 lindung koruptor 7 bikin hoax resesi th 2023 8 politik dinasti,mr. old village head's big sin 10 years 2 terms of office as president of indonesia 1 uu ite 2 omnibus law uu job creation 3 jakarta-bandung high-speed train project 4 ikn project 5 increase in state taxes 6 protect corruptors 7 make a hoax of recession in 2023 8 dynasty politics,Positif
lebih suerem paslon dukung teroris amp hizbut upaya ubah dasar negara khilafah kalau normalisasi zionist bagus dong sebentar kamu demo dubes israel ikn saudi arabia mesor uae turkiye punya hubung diplomatik israel,"it's more suerem for the candidate pair to support terrorists & hizbut, efforts to change the basis of the caliphate state, if zionist normalization is good, wait a minute, you demonstrate, the israeli ambassador, saudi arabia, mesor, uae, turkey, has israeli diplomatic relations",Positif
emang bulan pindah ikn,it's true that the month has moved,Positif
mending bangun ikn 800t lahh,it's better to build an 800t fish,Positif
mau ldr ngga nder penuh tapi ikn gantung tempat kerja xixixi btw trims sdh ditag,i want to open it and it's not full but it's hanging at work xixixi btw thanks for being tagged,Positif
