tokenized_and_stemmed,tweet_english,klasifikasi,klasifikasi bayes
tmn2 untung udh banyak golput bbrp 03 anti anies golput ini politik sama meski anies non partai lanjutin ikn logika makan ikn simbol baik perata anies too good to be true bisa jadi evil cont,"tmn2, fortunately, there have been a lot of abstentions, some 03 anti-anies abstentions, this is the same politics even though anies is a non-party, continue ikn logic eating ikn symbols both perata anies too good to be true could be evil cont",Positif,Negatif
to kalian dukung prabowo bakal kecewa kait program2 nya tidak bisa apbn nutup makan siang gratis mustahil apbn hutang milik 02 capres fokus beli alutsista food estate ikn dah tok,"for those of you who support prabowo, you will be disappointed because his programs can't cover free lunches, it's impossible for the apbn debt belonging to the 02 presidential candidates to focus on buying defense equipment, food estate, ikn dah tok",Negatif,Negatif
pola pikir wn turun imigran tolak ikn beda jauuh dg negarawan wni asli pribumi,the mindset of foreign citizens who are immigrants rejecting islam is very different from that of native statesmen who are native citizens,Negatif,Negatif
kurang lagi wo tni polri plt gub pns bawaslu mk kpu menteri kepala desa sdh kalian kuasa masyarakat indonesia cerdas sdh tahu oligarki di paksa dukung ikn itu main kalian bodoh rakyat indonesia ,"no more, wo tni polri acting governor pns bawaslu mk kpu minister village head you are already in power, the intelligent indonesian people already know that oligarchs are forced to support ikn, you are playing, you are stupid, the indonesian people",Negatif,Negatif
soekarno mau bangun gbk di demo efek rakyat kecil lagi ini hutang klasik kl melulu emang kakak udah lihat masa depan kl ikn hancurin rakyat hanya baca opini oposisi tuh cawapres 01 sampe ikut potong tumpeng segala,"soekarno wants to build gbk in the demonstrations, the effect of the small people is again, this is classic debt, if only you have seen the future, if ikn will destroy the people, just read the opinion of the opposition, the 01 vice presidential candidate until you join in cutting all the tumpeng.",Negatif,Negatif
kalau perkara apbn udah sadar kalau bansos dari apbn cuma itu proyek infrastruktur cari aku udah kali bahas bangkrut bumn tetep takut sama anies perkara berhentiin ikn riwayat reklamasi,"as for the apbn case, i'm aware that social assistance from the apbn is just an infrastructure project. look, i've discussed bankruptcy several times, but i'm still afraid of anies regarding the case of stopping ikn's history of reclamation.",Negatif,Negatif
sad banget kekeuh 02 ngaku swing voter jangan2 dia gk berani bela soal fakta jelek spt ubah atur mk enak makanya dalih swing voter wkwk jadi penasaran mmg bagus hilir ikn dia apa sampe milih alas itu,"it's really sad that 02 claims to be a swing voter, don't think he doesn't have the courage to defend ugly facts like changing the rules, so it's good, that's why he's a swing voter, wow, i'm curious, what's good about his fish downstream that he chose that base?",Negatif,Negatif
kmi milih jokoei jgn sok tau  kmi asli milih jokiwi kmi dibooongin mknya skrg sadar sadar sadar kmi skrg anis kren lihat program klau jkiwi lgi ikn ikn ikn ikn ikn siang mlm rakyat bengkalai skrg smua anis,"we chose jokoei, don't pretend to know, we really chose jokiwi, we were fooled, now we're aware, we're aware, now we're cool, look at the program, if jkiwi is going to be playing ikn ikn ikn, afternoon and evening, people are ignoring now, all anis",Positif,Negatif
kalo diskusi sama biasa ngebahas hilir amp ikn kak mungkin salah satu alas milih paslon tsb trs kayak makan framing tiktok omong bnr2 persis kaya gin emang bnr tiktok tuh pengaruh banget sih sadly banget hoax ttg 01 sana,"if the discussion is the same as usual, discussing downstream and fish, maybe one of the reasons for choosing a candidate pair is that it's like eating tiktok framing, talking really, exactly like gin. it's true that tiktok has a really big influence, it's really sad, it's a hoax about 01 there.",Negatif,Negatif
masa temenku bilang pilih karena kasi udah tua terus ikn jalan soal pegang saham udah ikut bangun ikn kalau pilih 1 ikn galanjut kek be like fak kata tehh yang perlu kasihan skrg rakyat kalau yang jadi,when my friend said to choose because kasi is already old then ikn goes about holding shares and has already got up ikn if you choose 1 ikn go ahead kek be like fak said tehh who needs to feel sorry for the people now if that is the case,Negatif,Negatif
heheh bukan fitnah tpi fakta jkw langgeng anak jadi cawapres saat masih jabat jkw buru buru bangun ikn pdhal investor tidak masuk2 jkw sepele hutang bunga besar china jadi buat negara bangkrut,"heheh, it's not slander, but it's a fact that jkw's son became vice presidential candidate while he was still in office. jkw was in a hurry to build a fish even though investors weren't coming in. jkw is trivial, china's huge interest debt is causing the country to go bankrupt",Positif,Negatif
melayu duduk asli singapur tinggal pinggir jadi tonton ikn siapa bila bangun serah oligarki asing maksud hgu ikn 190 tahun wna hilir siap bila sda asai oligarki asing,"malays, native to singapore, live on the sidelines, so watch ikn, who when you wake up hand over to foreign oligarchs, what does hgu ikn mean for 190 years, wna downstream is ready when sda asai foreign oligarchs",Negatif,Negatif
sorry kaya jawab kena lahan ratus ribu hektar yang nanti bengkalai ikn terus mau apa  barangkali yang udh nangkap jawab bantu cerah ngab,"sorry, it's like answering about hundreds of thousands of hectares of land that will be abandoned later, so what do you want? maybe those who have been arrested will answer, help bright, bro.",Positif,Negatif
bisa argumen soal ikn bukan solusi perata rasa tidak punya influence ajak orang lihat argumen beda argumen bisa guna jadi alat kampanye bang tahan dulu bang saya tau anda udah gatel ,"you can argue about fish, it's not a solution to level out feelings, it doesn't have influence, invites people to look at different arguments, arguments can be used as a campaign tool, bro, hold on, bro, i know you're already confused.",Negatif,Negatif
tol becakkayu tiang pancang udah puluh tahun sampe akhir jadi tol becakkayu bayang kalo ikn kondisi kaya sekrng ngga tuntas jadi,the becakkayu toll road has been piling for decades until it finally became the becakkayu toll road. imagine if the current conditions were not complete,Negatif,Negatif
sempat plin plan terus balik dukung ikn kek warga takut plin plan,i was wishy-washy and kept coming back to support ikn because people were afraid of being wishy-washy,Negatif,Negatif
ikn proyek mega-giga-tera-exa-ultra korupsi kasih makan artis2 tentu pejabat2 polisi tni ya hasil -nya ikn makanya ngoyo usaha keras dukung prabowo lanjut itu proyek,"ikn's mega-giga-tera-exa-ultra corruption project feeds artists, of course tni police officials, yes, the results are ikn, that's why we're working hard to support prabowo and continue that project",Negatif,Negatif
tayang ya  jusuf kalla warning investasi asing ikn kalau china bikin jalan ikn jalan punya china  tonton youtube karni ilyas club,"show it, jusuf kalla, warning about foreign investment, if china builds a road, china will have a road, watch youtube, karni ilyas club",Negatif,Negatif
dana jembatan bayar utang jebak china untuk bangun ikn korupsi kami rakyat sengsara suara kalian 5 tahun kami beli 200 ribu rupiah murah,"bridge funds to pay off china's trapped debts to build our corruption system, our people are miserable, your vote for 5 years we will buy it for 200 thousand cheap rupiah",Negatif,Negatif
ma af rais aam pbnu balik nih justru presiden jokowi hina mendzalimi rakyat indonesia masuk nadhliyin halus kasat mata kasus rempang morowali ikn kac kanjuruhan pbnu kalem merem,"ma af rais aam pbnu is back, it's actually president jokowi who is despicable in tyrannizing the indonesian people, entering nadhliyin in a subtle, invisible case, the case of rempang morowali ikn kac kanjuruhan pbnu is calm and reserved",Negatif,Negatif
ken deh ngetwit dampak langsung ikn hidup datang tanah kaltim takut kira buzzer saya bukan dukung ybs ,ken deh tweeted the direct impact of live fish coming to the land of east kalimantan i'm afraid of the buzzer i don't support ybs,Negatif,Negatif
program asal mangap asal janji ikut2an bokapnya wakil proyek mercusuar ikn kereta cepat kasihan rakyat cekik pajak subsidi bbm hilang,"program as long as it is established as long as it promises to follow along with the father, the representative of the lighthouse project, ikn, the high-speed train, it's a pity for the people who are strangled, the fuel subsidy tax is gone",Negatif,Negatif
belum boro-boro lirik sama perintah kan kalimantan cuma anak tiri dimanfaatin kaya alam maaf tiba ngomongin ikn i m just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives,"not yet wasted the lyrics and commands, kalimantan is just a stepchild used like nature, sorry for suddenly talking about ikn, i'm just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives",Negatif,Negatif
ayo cak semangat jangan mau sayur oleh orang tolol debat kejam jgn sok santun cc,"come on bro, be enthusiastic, don't want vegetables by stupid people, have a cruel debate, don't act polite, cc",Negatif,Negatif
gw jadi curiga skenario pindah ikn ya bgini kamu mo bikin absurd absurd bijak gabakalan yang demo jir jauh,"i'm so suspicious that the scenario of moving fish is like this, you can make it absurd, absurd, wise, gabakalan, the demo will be far away",Negatif,Negatif
lagi utang dah numpuk tambal pake utang kata kemaren aman bangun ikn meski pake dana utang tidak masalah kenapa malah gin sih iya gue tim pro bangun ikn sih tidak ken ibukota dipindahin bangun rata tidak ninggalin masalah,"the debt is already piling up, but using debt, yesterday's word was safe to build, even if you use debt funds, it doesn't matter why it's not working, yes, i'm a pro team to build ik, i don't want the capital to be moved, building flat doesn't leave any problems",Positif,Negatif
kasi sama admin project nya fitnah ngutang nyelewengin duit donasi sampe black campaign buat paslon padahal karna punya lahan ketar tir duit angus ikn,"give the project admin the slander of borrowing money, misappropriating donation money, even black campaigning for candidate pairs, even though because they have land, angus's money is tight.",Negatif,Negatif
si prof coba urus ke lurah mungkin langsung balik logika alam pikir message anies jelas posisi akar kelas kroco mumet sampe kelas hiu megalodon perlu tangan semua lintas kecil smp yang besar kuat kpk yang besar cont gt,"the prof tries to take care of it at the sub-district head, maybe it will go straight back to natural logic, anies's message is clear, the root position of the kroco class is mumet until the megalodon shark class needs hands, all small crosses, big middle school, strong, big kpk, cont gt",Positif,Negatif
bisa jadi salah vendor filter konten nya dulu jadi murni masalah kontrak salah bukan bagi saham metland kuasa usaha punya proyek ikn bukan orang tampil videotron punya gagas mau revisi ikn,"it could be that the content filter vendor is at fault in the past, so it's purely a matter of wrong contract, not for metland shares, the business authority has an ikn project, not the person appearing on videotron, has the idea of ​​wanting to revise the ikn",Negatif,Negatif
bukan karna ikn jadi menteri lempar dapil menang dapil bogor buncit alhasil gagal dpr trus tidak dapat posisi apa2 pdip partai diri bapakna dulu megawati sakittt dia sopan izin kluar balikin kta,"not because i became a minister, threw the electoral district, won the bogor electoral district, ended up failing in the dpr, then didn't get any position in the pdp party, my father used to be megawati, he was sick, he was polite, let me go, give us back",Negatif,Negatif
alil apa alas akan bikin gua pulang ikn bintang iyaaa anak nih pakde yang ken alil buru2 nelfon travel,"alil, what, alas, will make me go home like a star? yes, this is the child, uncle, who knows alil, immediately called travel",Negatif,Negatif
wow we re living in our bubble segala info busuk perintah temen gue ajak debat batas obrol banjir dp 0 formule e ikn milih gemoy tidak sadar sedang bungkam perlahan,"wow, we're living in our bubble, all the rotten information that my friend ordered me to debate on, flood chat limits, dp 0 formule e, i'm choosing gemoy, i'm not aware that i'm slowly keeping quiet",Negatif,Negatif
aduhhh bilang apa otak kosong  sedih aku tuh benar rrr mending uang ikn buat sekolahin orang dungu tak kuat aku liat orang bodoh hoax,"ouch, what are you saying, my brain is empty, sad, i'm right, rrr, it's better to use fish money to go to school, stupid people don't have the strength, i see stupid people hoaxing",Negatif,Negatif
iya ruu kalo beneran jadi jadi uu bisa ngapain uu kpk omnibuslaw ikn uu ite pt 20 semua uu sah rakyat biasa bisa ngapa2in justru bom jadi jangan salah pilih cegah orang track recordnya busuk tidak pilih,yes bill if it really happens uu can do what uu kpk omnibuslaw ikn uu ite pt 20 all uu valid ordinary people can do anything actually bomb so don't make the wrong choice prevent people with a rotten track record don't vote,Negatif,Negatif
mimpi pimpin cuman beda n words efek orang mimpi jadi pimpin lee kuan yew hasil singapore hari mungkin remeh mimpi jokowi ikn nya tapi 15th akan datang kita akan berterimakasih karena,"the dream of leading is just different n words, the effect of people dreaming of being a leader, lee kuan yew, today's singapore results may be trivial, jokowi's dream, but the 15th will come, we will be grateful because",Netral,Negatif
i hate this moment tahun suami bakal pindah balikpapan samarinda big boss sdh tau menang milu jadi pindah garap ikn cabang dekat ikn adlh kota ya alloh aku ken umpat sama negara,"i hate this moment of the year, my husband is going to move to balikpapan, samarinda, big boss, he knows he won the milu, so he moved to work on the ikn branch near ikn, which is a city, oh my god, i swear at the country",Negatif,Negatif
bani israil laknat buat bunuh nabi banyak buat mungkar yang mereka buat,the people of israel were cursed to kill many of the prophets because of the evil they did,Negatif,Negatif
yah baca isi dong jelas2 ngomong udh tau indonesia bnyak utang efek covid kekeuh jg bikin proyek ikn pdhal timingnya blum pas,"yes, read the contents, it's clear, i already know that indonesia has a lot of debt due to the effects of covid, i'm afraid to make a fish project even though the timing isn't right",Negatif,Negatif
kok salah siapa2 yang suruh bikin jalan tol tidak bayar invoice trus malag bikin ikn ratus t,how come it's wrong for anyone who orders to build a toll road to not pay the invoice and then be lazy about making hundreds of thousands of dollars,Negatif,Negatif
damping presiden jokowi tinjau ikn erick thohir optimistis training center pssi selesai bulan mei,"accompanying president jokowi to review the news, erick thorir is optimistic that the pssi training center will be completed in may",Negatif,Negatif
hallo warga malang ramai giat hari jadi kabupaten malang ke-449 mimin infoin jadwal jangan lupa pantengin terus ya,"hello malang residents, there are lots of people active in malang regency's 449th anniversary, mimin, for info on the schedule, don't forget to stay tuned.",Negatif,Negatif
    gb tahap ke-4 ibu kota nusantara bangun hotel kali investasi datang pt arcs house wisata indonesia biasa sebut jambuluwuk bangun jambuluwuk nusantara hotel,"gb 4th stage, capital of the archipelago, builds a hotel, investment comes, pt arcs house, indonesian tourism, usually called jamuluwuk, builds jamuluwuk nusantara hotel",Negatif,Negatif
posind bangun infrastruktur delivery robot drone advance robotic sorting machine utilisasi operasional logistik guna electric vehicle ev ikn,posind builds infrastructure for delivery robot drones advance robotic sorting machine utilization of logistics operations for electric vehicles ev ikn,Negatif,Negatif
wings group djarum heboh kabar hengkang konsorsium nusantara kata menteri investasi bahlil lahadalia gt,"wings group djarum is shocked by the news of the departure of the indonesian consortium, said the minister of investment, bahlil lahadalia, gt",Negatif,Negatif
jokowi soal debat ke-3 capres lihat justru saling serang simak berita lengkap,"jokowi regarding the 3rd presidential candidate debate, see actually attacking each other, read the complete news",Negatif,Negatif
