tokenized_and_stemmed,tweet_english
pernah nyangka solo makan guk guk dulu biasa makan guk guk bagi orang sulawesi bagi orang kalimantan bagi orang sumatra suku tentu nyata nyata,"Have you ever thought that Solo eats woof woof, used to eat woof woof, for Sulawesi people, for Kalimantan people, for Sumatran people, the tribe is certainly real, real."
taman dekat dom ya taman bekapai,The park near the house is Bekapai Park
diantos meh apal ikn hehe,diantos meh apa likn hehe
mama anak anak,mother of children
aku sempat diskusi dikit aku kalah soal gabisa jawab ikn yang tuju anies terang terang tolak ikn alas ikn perlu bagus akan maju kalimantan timur aku memang kerja salah satu proyek ikn makan pro,"I had a little discussion, I lost the question, I couldn't answer the fish that Anies was aiming for, he clearly rejected the fish, the base of the fish needs to be good, it will advance in East Kalimantan, I'm actually working on one of the pro-food fish projects"
gambut cocok singkong mending tanam padi seperti bukan lahan gambut jadi food estate,"Peat is suitable for cassava, it's better to plant rice instead of peat land to become a food estate"
akan sejarah ulang reklamasi proyek bohir rezim gagal anies jadi gubernur gagal reklamasi muncul ikn proyek bohir taruh besar anies jadi presiden,will re-history reclamation Bohir project regime failed Anies becomes governor Failed reclamation appears IKN Bohir project makes big bet Anies becomes president
komitmen pak ganjar terus ikn,Mr Gangar's commitment continues
ubah paslon 1 pak ganjar terus lanjut rampung ikn,"change the candidate pair, 1 pack of rewards and continue to complete the IKN"
pak ganjar komitmen lanjut bangun ikn,"Sir, reward your commitment to continue building IKN"
berterimakasih ikn penuh aseng gituh om,"Thank you, I'm full of fun, uncle"
kalau aku orang tua sih masalah ikn soal tinggal kalimantan orang tua gasuka anies kata anies tolak ikn aneh2 sih aku rasa cukup penting,"If I'm a parent, the issue of living in Kalimantan is that my parents don't like Anies. Anies says rejecting weird things, I think it's quite important."
buka jati diri manusia masing masing jadi pilih no 1 tuju ikn hilir sda indonesia kita tahu kubu pilih no 2 karena sifat orde baru terap korupsi kecil kecil amp yang penting rakyat kenyang no3 cerdas,"open the identity of each human being, so choose number 1 for downstream fish in Indonesia, we know that the camp chooses number 2 because of the nature of the new order, small and small corruption applies, and the important thing is that the people are full, number 3 is smart"
saat tempat suatu provinsi papua ikn lebih dekat jawa homebase dan lihat ada alam baru seru jadi ke homebase gakpapa,"When a place in the province of Papua is closer to Java's home base and you see new nature, it's exciting, so it's okay to go to home base."
orang butuh kerja uang makan bukan ikn mau ini tolol,"People need work, money to eat, don't want to, this is stupid"
iya benar jga awal tuju tidak jawasentris jdi simbol tpi kalau lihat ada rakyat indo ini buat makan susah lho ikn terlalu buru visi amin itu kita buat masyarakat mandiri dlu cari uang sendiri sejahtera bru ikn,"Yes, it's true that the initial goal is not to be Javacentric as a symbol, but if you see that there are Indonesian people, it's hard for them to eat, you know, I'm too hasty in my vision, Amen, we're going to make society independent, first earn our own money and be prosperous, bro."
untuk ikn dana alutsista,for defense equipment funds
nah bahas perata ka ikn sudah jalan mas gibran sendiri sudah nyata ini simbol perata bangun indonesia arti tidak langsung siapa presiden tetep laku perata betul,"Well, let's talk about Perata ka, it's already running, Mas Gibran himself, it's obvious, this is the Indonesian symbol for Perata, the indirect meaning of who is the president, it's still going to be true."
anies ganjar sama sama kualitas sih bkin beda ikn kak tinggal di sulawesi mungkin kk kurang ngerti tpi timpang sosial bangun jauh gila dana anggar all in ikn yang dri tanah saya lebih baik perata,"Anies rewards are the same, the quality is different, bro, I live in Sulawesi, maybe you don't understand, but the social imbalance is very crazy, the fencing funds are all in, the fish from my land is better leveled"
ya benar karena kan kondisi uang negara bakal defisit genjot ikn impor sapi india untuk naikin gaji jabat jadi rakyat kasih makan siang bisa makan sekali hari,"Yes, that's right, because the condition of the state's money will be in deficit, increasing imports of Indian cattle to increase official salaries so that people who give lunch can eat once a day."
sebenernya kalo nolak 100 ikn bakal ngebikin rugi negara seperti hambalang lebih gelontor dana apbn udah yang masuk ikn langkah bijak presiden ikut entah siapa ya ikn tetap lanjut tidak abai kota,"In fact, if you refuse 100 IKN, it will cause losses to the state, like it would be a waste of more APBN funds already coming in. I don't know who the president is taking a wise step, I'm still going to continue without ignoring the city"
urgensi ikn tuh apa lebih penting ngebangun ikn jabat lebih penting ngebangun sekolah guna cerdas bangsa ngebangun rumah sakit untuk selamat warga indonesia jangan lupa sila 5 adil sosial seluruh rakyat indonesia,"What's the urgency of building an office? What's more important is building a school for the intelligent nation, building a hospital for the safety of Indonesian citizens, don't forget the 5 principles of social justice for all Indonesian people."
bahas si 02 pak anies 1 menghianati prabowo nyapres offensive serang prabowo 2 dp 0 rupiah 3 proyek ikn mau diterusin proyek kembang 40 kota mustahil 4 cuman jago retorika minim prestasi yang banyak bahas mereka,discuss the 02 Pak Anies 1 betraying Prabowo running for president offensively attacking Prabowo 2 dp 0 rupiah 3 fish project wants to continue flower project 40 impossible cities 4 only good at rhetoric minimal achievements they discuss a lot
tambahin kalo sumur resap gagal salah efektif sumur resap dipake ikn solo lalu kalo ngomong yang rusak kasih tau yang rusak jauh lebih dari yang hasil,"add that if the absorption well fails, the absorption well is effective if it is used solo fish then if you talk about what is damaged, tell me that the damage is much more than the result"
temen gue dukung 02 selalu bawa ini 1 anies bohong kata gamau nyapres 2 terima kasih sama p 3 bakal lanjutin ikn 4 bisa benahin jakarta paling baru ngerasa p nyalon 4x tau yang beres indo kata bangun eco park guna,my friends support 02 always bring this 1 anies lied saying he doesn't want to run for president 2 thank you p 3 will continue with iKn 4 can fix jakarta most recently felt p running 4x know what's going on indo says build eco park guna
ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
uji coba mobil terbang 2024 ikn nusantara,2024 IKN Nusantara flying car trial
kualitas jalan tol ikn nuaantara baik indonesia,The quality of the IKN Nuaantara toll road is good in Indonesia
ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
ishalla ikn meri,ishalla ikn meri
ubah ikn jadi hutan rimba  ubah jalan tol jadi sawah  ubah umk kita dari 4 500 000 - jadi 1 500 000 -  kita ubah presiden kita dari orang pribumi jadi orang asing yaman  ngeri kali ustadz kita ini bah,"change fisheries into jungles, change toll roads into rice fields, change our salary from 4,500,000 - to 1,500,000 - we change our president from a native to a Yemeni foreigner, how scary is our Ustadz?"
prabowo cinta rakyat kampanye banjarbaru prabowo klaim warga pulau kalimantan dukung ikn kalimantan selatan,Prabowo loves the people of the Banjarbaru campaign. Prabowo claims that the residents of the island of Kalimantan support the South Kalimantan fishery
ikn waris si bandit segera jadi buka pintu jeblos si bandit penghianat seret masuk penjara nusakambangan hilir proyek apbn psn penuh korup amp nepotisme akan jadi tabir nya bangsat jokowi rampok uang rakyat,The bandit's inheritance will soon open the door. The traitorous bandit will be dragged into prison in Nusakambangan downstream. The APBN PSN project is full of corruption and nepotism. This will be the cover for Jokowi's son of a bitch robbing people's money.
rakyat butuh ikn rakyat butuh hidup kerja layak sejahtera ke makmur seluruh rakyat indonesia rakyat butuh ubah,The people need money. The people need a decent working life to prosper for all Indonesian people. The people need change
hahahha liat banget kau tolol sekarang investor asing udh sedia invest ikn berapa nol  arti kalau ikn lanjut bakal pake apbn trus otak kau bilang dana bagi besar negara lain dukung 02 bodoh kayak kau gin kah,"hahahha I see you are really stupid, now foreign investors are ready to invest in IKN, how much does it mean that if IKN continues, you will use APBN, then your brain says funds for big other countries support 02, stupid like you, right?"
aku curiga ikn bahkan bangun lama tuh sebenernya cuma jadi lahan basah buat perintah doang,"I suspect that even if it's been up for a long time, it's actually just a wetland for orders"
bismillah aww yuk investor partisipasi doa usaha dukung kembang unggul kalimantan timur jadi ikn segala baik investor milik tuhan yang mahaesa segingga wujud yang amanat dahulu aamiin aww,"bismillah aww come on, investors, participate, pray for business, support the superior development of East Kalimantan, so all good investors belong to the Almighty God, so that the form of the first mandate, amen, aww"
mbok pada mikir kalian 02 amp 03 satu tumbang no 01 buat lanjut ikn sudah kalian antem ,I think you guys are 02 amp 03 one down number 01 to continue Ikn you already ante
prabowo rakyat kalimantan antusias perintah tetap ikn kaltim,"Prabowo, the people of Kalimantan are enthusiastic about the order to maintain IKN East Kalimantan"
pantesan ngebet ampe keluar partai punya proyek di ikn ,It's no wonder you're being pushed around until you leave the party to have a project at IKN
nah makanya ngejelasinnya diromantisasi bilang tiap tahun dapet hasil pahala insyaallah bakal ngalir terus petenteng ngakuin kalau jalan punya ya semacemnya gitu sampein soal ikn dibatalin ya sama anies ganti 40 kota bakal ditingkatin,"Well, that's why explaining it is romanticized, saying that every year you get the reward, God willing, it will flow, and then the petenteng admits that if the road has it, it's like that, until the fish issue is canceled, yes, with Anies, 40 cities will be increased."
temu tarik basis ppp mana koalisi pdip dukung ganjar justru lebih pilih prabowo anies mayoritas duduk kalimantan pilih prabowo nampaknya sangat ikn tetap lanjut anies tawar alternatif lain,"The PPP basis of the meeting is that the PDP coalition supports Ganjar, but actually prefers Prabowo."
hack akun orang berapa bang resah sekali korban tipu khusus nya perempuan,"How many people's accounts are hacked? How worried are the victims of fraud, especially women?"
dana ikn bagi besar investasi dri negara kalau buat guru2 negara mana mau investasi apbn pakai ikn hanya persen lain investor jdi gausah bodoh2 banget lah,"IKN funds are for large investments from the state. If it's for teachers, which country wants to invest, the APBN uses IKN, just another percent of investors, so you don't have to be so stupid."
emg salah prof mahfud mah malah bilang ikn investor sama sekali pdhl ada dari swasta kayak kamu asal deh,"It's really Prof. Mahfud's mistake to even say that there are no investors at all, even though there are private companies like you, that's okay."
bro anies update tuh kata mau lanjut ikn lagi bangun ikn dosa jadi ngga perlu bawa2 tobat wkwk,"Bro, Anies, update, he said he wanted to continue, I'm awake, I'm a sin, so I don't need to bring repentance hahaha"
tonton podcast kemal palevi sama sammy notaslimboy bg buat jawab ikn,Watch Kemal Palevi and Sammy Notaslimboy's podcast to answer IKN
ganjar mau komitmen lanjut bangun ikn lanjut bangun sdm mental anak bangsa program3 masuk akal ingat hutang negara makin tinggi negara perlu hemat program lebih manfaat,"Rewards, want commitment to continue building IKn, continue building the mental resources of the nation's children, program3 makes sense, remember that the national debt is getting higher, the country needs to save on programs that are more beneficial"
ikn novo dorflex max na pain,ikn novo dorflex max na pain
eh serius penasaran what if calon presiden pilih usung tema ubah which is kontra sama ikn jadi bangun udah jalan sekian persen gin dianggurin gitu kah i mean i don t fully understand what kind of cons they mean,"eh, I'm seriously curious what if the presidential candidate chooses to carry the theme, change which is the cons and IKN, so when I wake up I walk, what percentage of the time is I left idle, is that what I mean, I don't fully understand what kind of cons they mean"
kabinet rasa timses pak lurah jg cm ngurusi ikn pilpres indonesia dlm kondisi auto pilot,The village head's timses cabinet also looks after the Indonesian presidential election in auto pilot condition
gua kalo jadi pak jokowi kek susah tidur mikirin lanjut ikn,"If I were Mr. Jokowi, I would have trouble sleeping thinking about continuing IKN"
ni lagi pak anies bawa ikn anjrit lah ikn jangan dijadiin isu bahaya banget orang sumpah ikn cita presiden indonesia jangan dihancurin pak,"Here again, Mr. Anies is bringing anjrit fish, don't make it into a very dangerous issue, people swear that the ideals of the Indonesian president should not be destroyed, sir."
sulit memang kalau nyangkut duit gede mo bilang kalau rejeki kemane percumb bilang seterah kamu cuma kasihan orang jakarta bakal gusur kalau ikn lanjut,"It's really difficult if you're involved in big money, you can say that you're lucky, wherever you go, you can say whatever you want, it's just a pity, the people of Jakarta will evict you if you continue"
satu periode bangun 5 ikn,one wake period 5 ikn
gua tau berapa besar influence gilang so please not the ikn,I know how big Gilang's influence is so please not the IKN
bawa deh isu ham mk apa but not the ikn not our ikn,"Bring up the issue of whether or not human rights are the issue, but not the ikn, not our ikn"
1 meski cak imin saya kurang pilih cak imin pkb bisa anggap remeh punya suara nu 2 nasdem pkb soal ikn karna situasional realistis siapa yang mau invest ikn mau dipaksain 3 mereka hormat konstitusi,"1 even though Cak Imin I don't really choose Cak Imin PKB, I can take it for granted that I have a vote. 2 Nasdem PKB is about IKN because of the realistic situation, whoever wants to invest in IKN wants to be forced to do so 3 They respect the Constitution"
no no apa yang bawa ikn karna highly cost no kalo sekarang lagi gua kalo nang darah nang gua plis plis plis nonton video jelas rk soal ikn youtube media center indonesia maju i am begging you,no no no what to bring fish because it's very cost no if now I'm going to have blood on me please watch a clear video about fish youtube media center indonesia advanced i am begging you
anies soal milih wakil leluasa usung ubah amp tolak ikn nasdem amp pkb tuju ae tuh ikn cak imin dukung jokowi 3 periode surya paloh kalau konstitusi mungkin juga bakal usung jokowi,"Anies on the issue of electing representatives is free to push for changes & rejects the National Democratic Party and the PKB, I want to support Jokowi for 3 terms, Surya Paloh, if there is a constitution, maybe Jokowi will also be promoted"
jelas first ikn the biggest problem nambahin utang negara jelas kalian mau pajak makin tinggi karna yang subsidi tidak jadi subsidi amin sini jelas sikap misi,"It's clear, first, the biggest problem is increasing the national debt. It's clear that you want higher taxes because subsidies don't become subsidies, Amen. This is a clear mission stance."
jauh si banyak masalah ikn tapi kemarin sempat liat gagas anies pas desak anies jadi sama ngertii akhir buka pikir yang pindah juga tetep bingungg wkwk,"There's a lot of problems, but yesterday I saw Anies' idea when he was pushing Anies, so I understood and finally opened my mind and decided to move, but I'm still confused, hahaha"
otorita ikn revitalisasi 5 sekolah ikn nusantara,IKN Authority revitalizes 5 Indonesian IKN schools
capres nya di aku,the presidential candidate is me
ikn nusantara jadi tuju investasi dunia,Indonesian fish has become a global investment destination
ikn jadi pusat kembang budaya maju,IKN has become a center for the development of advanced culture
hidmat tuhan ikn,God's wisdom Ikn
kalo orng paham skala prioritas bisa terima mudah kak tuh balas twit aku ttg urgensi ikn tetep bisa masuk dekat analisanya beda,"If people understand the priority scale, they can easily accept it, bro, reply to my tweet about fish urgency, it can still be included in the analysis, it's different."
ga ikn,no way
yang pikirin soal ikn org2 kalimantan kata yang tuju perata kata kalimantan maju seperti jakarta pdhl sadar egois banget nget nget bener2 buang anggar buat yang tidak urgent sama sekali ,"those who think about fish, the people of Kalimantan, the words that are aimed at developing the words of Kalimantan, are developed like Jakarta, even though they realize that they are really selfish, they really waste money on things that are not urgent at all."
temenku dukung 02 argumen pertama gamau ikn mangkrak sama banyak kaya ngelihat maju proyek mercusuar kaya gitu jadi susah counter bawa timpang bangun sama kata gibran anak muda perlu tahu gimana 01 lebih pro muda,"my friend supports 02 the first argument, I don't want to stall, it's like seeing progress on a lighthouse project like that, so it's difficult to counter, bring lame, wake up, according to Gibran's words, young people need to know how 01 is more pro-young"
pak bas engga mau bawa aku ikn ya ,Mr Bas doesn't want to bring me fish
iya ttg ikn tmn2 bahkan gatau ikn kalimantan timur bagi kasih tau kalo di kab paser kab kuta kartanegara itu babat hutan mulai bangun 0 anggar minimal 400t lalu saya kasih liat video bicara ttg ikn kaget,"Yes, about the TMN2 fish, I don't even know about the East Kalimantan fish, let me know that in Paser District, Kuta Kartanegara Regency, the forest tripe is starting to build 0 fences of at least 400t then I'll show you a video talking about Shocked Fish"
ubah apa orang ganjar bakal nerusin ikn,change what people are rewarded for and will continue to do it
the downfall of ikn usul lahan bangun sdh lanjur bangun jadi pusat teliti pangan hutan dunia lebih manfaat,The downfall of IKN's proposal for land to be built has become a world forest food research center with more benefits
gimana jelasinnya simpel kalau jelas ikn sudah anggar uunya ubah proyek tol baru mau bebas lahan  soal mungkin bawa teknis keburu jenuh ,"How can you explain it simply, if it's clear that the law has already been budgeted for changing the new toll road project to free up land, the problem is that it might lead to technical boredom."
justru ikn cpt progressnya memek istilah kata kerjasama antar negara kata jual negara gabisalah orang investasi nama yang puterin uang macam freeportlah kalo mau tunda tunda mau gimana anis mau lanjutin ikn masa ente ikut gsetuju,"In fact, IKN is progressing quickly, the term for cooperation between countries, the words selling the country, can't be done by people who invest in names that make money like Freeport. If you want to postpone, what do you want to do, what do you want to do? If you want to continue, I agree."
kalau sy-nya paham cara pribadi malah lebih pesimis serta modal dari nggak jelas nggak paham psn kalau jelas ikn yang uu ubah cuma tol  situ sy langsung back down ,"If I understand personal methods, I'm even more pessimistic and I don't understand capital if I don't understand PSN. If it's clear that what you're changing is just tolls, I'll immediately back down."
alas lengkap tuhh karena rencana mau lanjutin ikn kenapa anies mohon jelas,"The reason is complete, because the plan is to continue, why Anies, please explain"
awokwokwok kabar ikn,awokwokwok news ikn
ohh investor ikn ya,"Oh, investors, yes"
kyknya orang indon uda ikhlas kalo food estate 2 0 uu ite 2 0 5subsidi bbm sama gas cabut pajak motor dinaikin buat tambal lrt kereta cepat ikn naikin gaji jabat program susu 400t yang ptg prabs presiden soal gemoy kasi,It seems like Indonesians are willing to accept food estate 2 0 UU IT
wkwkwk proyek rentan ladang korupsi lah otak kamu kan nyampe 40 kota udh hanya tinggal kembang lebih rata se indonesia krana memang udh banyk duduk situ ikn hutan belantara cm berapa duduk sana,"Wow, the project is vulnerable to corruption, your brain has reached 40 cities, and it's only growing more evenly throughout Indonesia, because there are already a lot of people sitting there, like wilderness, how many people are sitting there?"
wkwkwk diitung sama ikn kata siapa anak ekonomi kan ya paham renstra ikn paham alur dana ikn fokus bahas masalah utang puluh ribu eh dibandinginnya sama ikn mosok akademisi asal nyeletuk opini kosong gin,"hahaha, if you count it the same way, who said economics kids understand strategic planning, understand the flow of funds, focus on discussing tens of thousands of debts, eh, compared to ikn, you're a mockery of academics just spouting empty opinions, right?"
ampun benar habis bilang heru tuh bilang asn performa buruk bakal pindah ikn malah jawab mungkin lah itu  padahal bapake 60,"sorry, that's right, after saying heru, you said ASN's poor performance would move, but instead he answered, maybe that's it, even though my father is 60"
ganjar jelas komitmen terus ikn bansos luas prabowo-gibran solusi lanjut negeri ini,Reward clearly Prabowo-Gibran's continued commitment to broad social assistance for further solutions in this country
bangun ikn prabowo klaim dukung penuh suku dayak,wake up IKN Prabowo claims to fully support the Dayak tribe
ubah mana ganjar terus ikn bansos makin luas pilih cerdas lanjut nyata,"Change the rewards and get wider social assistance, choose smart and real"
kait isu global warming tentu ikn hrs dukung bgm bangun kota konsep ecogreen dlm infrastruktur gedung jalan sedia energi air bersih jaga udara lingkung kelola limbah dan kalah penting penabganan sdm,"related to the issue of global warming, of course we have to support how to build cities with an ecogreen concept in building infrastructure, roads, energy, clean water, maintaining environmental air, managing waste and the importance of human resource savings."
pilih 03 anti anies paham kalau negara akomodasi golput  -krn trauma jadi 212 anies ride the wave makan isu anies setir us tidak lanjut ikn pola pikir nya sama yang golput ikn bikin perata cara biasa pas diskusi adl cont,vote 03 anti-anies understands that the accommodation country is abstaining - because of the trauma of being 212 anies ride the wave eating the issue of anies steering us not continuing ikn the mindset is the same as those who abstained ikn making the usual method during the discussion is cont
asal njeplos gatau arah ron nusron jelas ubah indonesia lebih baik maju lanjut ikn lanjut bansos sesuai bukan malah rang,"As long as it's clear, I don't know if Ron Nusron's direction is clear to change Indonesia, it's better to move forward, continue social assistance according to not even rang"
mbah bilang ubah ganjar tetap konsisten terus ikn bansos malah tambah cakup lanjut bisa andal,Mbah said that changing the rewards remains consistent and the social assistance becomes even more comprehensive and can be reliable
tmn2 untung udh banyak golput bbrp 03 anti anies golput ini politik sama meski anies non partai lanjutin ikn logika makan ikn simbol baik perata anies too good to be true bisa jadi evil cont,"tmn2, fortunately, there have been a lot of abstentions, some 03 anti-anies abstentions, this is the same politics even though anies is a non-party, continue ikn logic eating ikn symbols both perata anies too good to be true could be evil cont"
svt kamu nunggu ikn gimana sih gue sedih bgt,svt what are you waiting for? I'm so sad
aku 99 asal jawa dom jakpus jg k l pusat kloter 1 pindah ikn aku sih msh tolak realita mau pindah  mutualan bole lah,"I'm 99 from Java and Jakarta, also at the center of group 1 I'm moving, but I'm still rejecting the reality of wanting to move mutually, that's fine."
ganjar memang pilih tepat komitmen terus ikn bansos tetap jalan bahkan tingkat lanjut kita butuh,"reward is indeed choosing the right commitment to keep the social assistance going, even at the advanced level we need"
ubah mana benar ron nusron ganjar-mahfud justru lanjut ikn lanjut bansos kurang,"Change, where is it true that Ron Nusron Ganjar-Mahfud actually continues, IKN continues, social assistance is lacking"
min gimana nanggepin temen gue pikir lanjutin ikn banding bangun 40 sudah kembang jadi maju,"Min, how do I respond to my friend? I think I'm going to continue with the appeal of waking up to 40, so I'm progressing"
bandingin sama internet cobak banding sama ikn penting mana,"Compare it with the internet, try to compare it with which information is important"
jujur ak skeptis sama lanjut ikn ak susah percaya kalo pulau jawa bakal jadi bangun infrastruktur ya lama tau indo udh nyoba buat ngga jawa sentris tapi rasa kembang cuma pulau jawa doang,"To be honest, I'm skeptical and I'm having a hard time believing that the island of Java will develop infrastructure, I know for a long time, Indonesia has been trying to make it not Java-centric, but I think it's only Java that's developing."
moga ada jegal kampanye harap ikn kelak bangun bangsa sendiri anak2 nanti bangun perlu keburu2 bangun sdm dulu,"I hope there will be failures in the campaign. I hope that in the future we will build our own nation. When the children wake up, they need to hurry up and build their education first"
pak ganjar komitmen ikn,Sir rewards IKN's commitment
fbr dukung lanjut ikn lewat ganjar-mahfud md,FBR continues to support IKN via Ganjar-Mahfud MD
ikn gk urgent usah kesusu bangun sendiri ikn saat generasi kita telah siap usah ngandalin investor,"It's not urgent, you don't have to worry about building it yourself, but when our generation is ready, you don't have to rely on investors"
titip tanya pak atas dasar saudara gibran percaya kalau ikn bentuk program perata adil indonesia,"Just ask, sir, because Brother Gibran believes that this is a form of Indonesia's fair leveling program"
institut kraf negara lalu jurus seni kraf logam hari telah ada demontrasi tukang pamer cucuk sanggul anjur ajar tahun 3 fakulti urus seni budaya waris aswara,the state crafts institute and metal crafts art style today there was a demonstration of the 3rd year teacher's chignon showman showing off the faculty of arts and culture heir aswara
pak ganjar komitmen terus ikn lanjut bansos kurang justru tambah cakup perubaha ya bestiee hadeh,"Sir, reward your continued commitment to continue the social assistance, it's less, it actually adds to the scope of change, bestiee hadeh"
debat cawapres sebentar tema sda sdm lingkung hidup masyarakat adat request dong cawapres2ku tema pas banget disangkungin sama sejahtera rakyat ikn utama buat cak imin bisa buat counter masalah tumpeng kemaren tuh,"short cawapres debate, the theme of natural resources and human resources, the environment of indigenous peoples, please request my cawapres, the theme is really fitting to be aligned with the welfare of the people, the main topic for cak imin can make a counter to yesterday's tumpeng problem."
to kalian dukung prabowo bakal kecewa kait program2 nya tidak bisa apbn nutup makan siang gratis mustahil apbn hutang milik 02 capres fokus beli alutsista food estate ikn dah tok,"for those of you who support Prabowo, you will be disappointed because his programs can't cover free lunches, it's impossible for the APBN debt belonging to the 02 presidential candidates to focus on buying defense equipment, food estate, IKN dah tok"
izin tambahin kak uu ikn buat konsultasi dng publik investor jg udh ragu awal kait ikn sumber aku tonton tom lembong prnh jadi tri dagang indonesia amp kepala bkpn in case ragu orang ngmgnya cmiiw,permission to add sis uu ikn for consultations with the investing public also had doubts at first about ikn source i watched tom lembong previously became tri trade indonesia & head of bkpn in case of doubt people said cmiiw
yakin ikn kka,"I'm sure, bro"
diitung sama ikn wkwk,it counts the same way hahaha
nyuruh prof google investor asing ikn padahal bapak sendiri berita2 bilang bom sudah google bom sbg dukung ,"asked Prof. Google to google foreign investors, even though the father himself said in the news that it was a bomb, Google bombed it as support"
soal ikn kita banding skala prioritas anggar besar agak lebih baik bangun jalur transportasi luar jawa kembang kota lain agar dapat bangun rata bangun kota baru 0,"regarding fish, let's compare the priority scale, it's better to build transportation routes outside Java, develop other cities so that we can build new cities evenly 0"
groundbreaking ikn  presiden jokowidodo groundbreakin jambuluw via,Groundbreaking IKN President Jokowidodo Groundbreaking Jamuluw via
ikn sepi minat jokowi banyak antre perlu saring  sri mulyani bawaslu nadiem nguyen jepang nana mirdad capeklihat carajahat rumah batam hubner lap top towel malam minggu witan,"IKN Jokowi's interest is low, lots of queues need filtering, Sri Mulyani Bawaslu Nadem Nguyen Japan, Nana Mirdad, tired of seeing evil ways, Batam house, hubner, lap top towel, Sunday night, Witan"
masyarakat sana lelah terus sampai resah milik lama bangun ikn sayang sekarang belum temu titik terang lengkap baca bawah ini,"The people there are constantly tired to the point of being anxious about the old property of waking up, but it's a shame that now they haven't found a complete bright spot, read below"
balik kata green city ikn benar ada masalah kompleks kena lingkung masyarakat adat sekitar,"Behind the words green city, it is true that there are complex problems affecting the environment of local indigenous communities"
hal tarik bisa ulik topik2 kali salah satu bangun ikn emang sih,It's an interesting thing to be able to change topics every time one of them really wakes up
q kontra ikn a bukan aku jawa-sentris aku paham di jawa butuh infrastruktur cuman mending bangun kota udah saja ngapain bangun kota baru 0,"q cons I'm not Java-centric, I understand that Java needs infrastructure, but it's better to just build a city, why build a new city? 0"
pak ganjar kan komitmen rua ikn jadi jangan mengada2 mulu ye,"Sir, I will reward Rua Ikn's commitment, so don't make things up, okay?"
pola pikir wn turun imigran tolak ikn beda jauuh dg negarawan wni asli pribumi,The mindset of foreign citizens who are immigrants rejecting Islam is very different from that of native statesmen who are native citizens
pak ganjar komitmen lanjut ikn lanjut bansos ubah ndas mu ubah,"Sir, reward your commitment to continue social assistance, change your NDAS, change it"
