tokenized_and_stemmed,tweet_english,klasifikasi
aku curiga ikn bahkan bangun lama tuh sebenernya cuma jadi lahan basah buat perintah doang,"i suspect that even if it's been up for a long time, it's actually just a wetland for orders",Negatif
mbok pada mikir kalian 02 amp 03 satu tumbang no 01 buat lanjut ikn sudah kalian antem ,i think you guys are 02 amp 03 one down number 01 to continue ikn you already ante,Negatif
dana ikn bagi besar investasi dri negara kalau buat guru2 negara mana mau investasi apbn pakai ikn hanya persen lain investor jdi gausah bodoh2 banget lah,"ikn funds are for large investments from the state. if it's for teachers, which country wants to invest, the apbn uses ikn, just another percent of investors, so you don't have to be so stupid.",Negatif
eh serius penasaran what if calon presiden pilih usung tema ubah which is kontra sama ikn jadi bangun udah jalan sekian persen gin dianggurin gitu kah i mean i don t fully understand what kind of cons they mean,"eh, i'm seriously curious what if the presidential candidate chooses to carry the theme, change which is the cons and ikn, so when i wake up i walk, what percentage of the time is i left idle, is that what i mean, i don't fully understand what kind of cons they mean",Negatif
gua kalo jadi pak jokowi kek susah tidur mikirin lanjut ikn,"if i were mr. jokowi, i would have trouble sleeping thinking about continuing ikn",Negatif
ni lagi pak anies bawa ikn anjrit lah ikn jangan dijadiin isu bahaya banget orang sumpah ikn cita presiden indonesia jangan dihancurin pak,"here again, mr. anies is bringing anjrit fish, don't make it into a very dangerous issue, people swear that the ideals of the indonesian president should not be destroyed, sir.",Negatif
sulit memang kalau nyangkut duit gede mo bilang kalau rejeki kemane percumb bilang seterah kamu cuma kasihan orang jakarta bakal gusur kalau ikn lanjut,"it's really difficult if you're involved in big money, you can say that you're lucky, wherever you go, you can say whatever you want, it's just a pity, the people of jakarta will evict you if you continue",Negatif
jauh si banyak masalah ikn tapi kemarin sempat liat gagas anies pas desak anies jadi sama ngertii akhir buka pikir yang pindah juga tetep bingungg wkwk,"there's a lot of problems, but yesterday i saw anies' idea when he was pushing anies, so i understood and finally opened my mind and decided to move, but i'm still confused, hahaha",Negatif
yang pikirin soal ikn org2 kalimantan kata yang tuju perata kata kalimantan maju seperti jakarta pdhl sadar egois banget nget nget bener2 buang anggar buat yang tidak urgent sama sekali ,"those who think about fish, the people of kalimantan, the words that are aimed at developing the words of kalimantan, are developed like jakarta, even though they realize that they are really selfish, they really waste money on things that are not urgent at all.",Negatif
temenku dukung 02 argumen pertama gamau ikn mangkrak sama banyak kaya ngelihat maju proyek mercusuar kaya gitu jadi susah counter bawa timpang bangun sama kata gibran anak muda perlu tahu gimana 01 lebih pro muda,"my friend supports 02 the first argument, i don't want to stall, it's like seeing progress on a lighthouse project like that, so it's difficult to counter, bring lame, wake up, according to gibran's words, young people need to know how 01 is more pro-young",Negatif
iya ttg ikn tmn2 bahkan gatau ikn kalimantan timur bagi kasih tau kalo di kab paser kab kuta kartanegara itu babat hutan mulai bangun 0 anggar minimal 400t lalu saya kasih liat video bicara ttg ikn kaget,"yes, about the tmn2 fish, i don't even know about the east kalimantan fish, let me know that in paser district, kuta kartanegara regency, the forest tripe is starting to build 0 fences of at least 400t then i'll show you a video talking about shocked fish",Negatif
ampun benar habis bilang heru tuh bilang asn performa buruk bakal pindah ikn malah jawab mungkin lah itu  padahal bapake 60,"sorry, that's right, after saying heru, you said asn's poor performance would move, but instead he answered, maybe that's it, even though my father is 60",Negatif
pilih 03 anti anies paham kalau negara akomodasi golput  -krn trauma jadi 212 anies ride the wave makan isu anies setir us tidak lanjut ikn pola pikir nya sama yang golput ikn bikin perata cara biasa pas diskusi adl cont,vote 03 anti-anies understands that the accommodation country is abstaining - because of the trauma of being 212 anies ride the wave eating the issue of anies steering us not continuing ikn the mindset is the same as those who abstained ikn making the usual method during the discussion is cont,Negatif
svt kamu nunggu ikn gimana sih gue sedih bgt,svt what are you waiting for? i'm so sad,Negatif
jujur ak skeptis sama lanjut ikn ak susah percaya kalo pulau jawa bakal jadi bangun infrastruktur ya lama tau indo udh nyoba buat ngga jawa sentris tapi rasa kembang cuma pulau jawa doang,"to be honest, i'm skeptical and i'm having a hard time believing that the island of java will develop infrastructure, i know for a long time, indonesia has been trying to make it not java-centric, but i think it's only java that's developing.",Negatif
pak ganjar komitmen terus ikn lanjut bansos kurang justru tambah cakup perubaha ya bestiee hadeh,"sir, reward your continued commitment to continue the social assistance, it's less, it actually adds to the scope of change, bestiee hadeh",Negatif
to kalian dukung prabowo bakal kecewa kait program2 nya tidak bisa apbn nutup makan siang gratis mustahil apbn hutang milik 02 capres fokus beli alutsista food estate ikn dah tok,"for those of you who support prabowo, you will be disappointed because his programs can't cover free lunches, it's impossible for the apbn debt belonging to the 02 presidential candidates to focus on buying defense equipment, food estate, ikn dah tok",Negatif
nyuruh prof google investor asing ikn padahal bapak sendiri berita2 bilang bom sudah google bom sbg dukung ,"asked prof. google to google foreign investors, even though the father himself said in the news that it was a bomb, google bombed it as support",Negatif
ikn sepi minat jokowi banyak antre perlu saring  sri mulyani bawaslu nadiem nguyen jepang nana mirdad capeklihat carajahat rumah batam hubner lap top towel malam minggu witan,"ikn jokowi's interest is low, lots of queues need filtering, sri mulyani bawaslu nadem nguyen japan, nana mirdad, tired of seeing evil ways, batam house, hubner, lap top towel, sunday night, witan",Negatif
balik kata green city ikn benar ada masalah kompleks kena lingkung masyarakat adat sekitar,"behind the words green city, it is true that there are complex problems affecting the environment of local indigenous communities",Negatif
pola pikir wn turun imigran tolak ikn beda jauuh dg negarawan wni asli pribumi,the mindset of foreign citizens who are immigrants rejecting islam is very different from that of native statesmen who are native citizens,Negatif
kurang lagi wo tni polri plt gub pns bawaslu mk kpu menteri kepala desa sdh kalian kuasa masyarakat indonesia cerdas sdh tahu oligarki di paksa dukung ikn itu main kalian bodoh rakyat indonesia ,"no more, wo tni polri acting governor pns bawaslu mk kpu minister village head you are already in power, the intelligent indonesian people already know that oligarchs are forced to support ikn, you are playing, you are stupid, the indonesian people",Negatif
soekarno mau bangun gbk di demo efek rakyat kecil lagi ini hutang klasik kl melulu emang kakak udah lihat masa depan kl ikn hancurin rakyat hanya baca opini oposisi tuh cawapres 01 sampe ikut potong tumpeng segala,"soekarno wants to build gbk in the demonstrations, the effect of the small people is again, this is classic debt, if only you have seen the future, if ikn will destroy the people, just read the opinion of the opposition, the 01 vice presidential candidate until you join in cutting all the tumpeng.",Negatif
sdh jurnalis informasi motif benar paslon belah mulai proyek ikn bangun kcic ujung2nya subsidi pajak motor bensin yang dampak langsung rasa rakyat kecil ,"the journalist has provided information on the correct motives of the candidate pairs, starting the ikn project to build kcic. the end result is a tax subsidy on petrol motorbikes which has a direct impact on the feelings of the little people.",Negatif
udh pusing balikin utang kcic ehhh nambah utang ikn utang naikin gaji jabat utang makan siang susu utang dukung nyapres,"i'm already confused about paying back kcic's debt, ehhh, increasing debt, debt, increasing salary, debt, lunch, milk, debt, support for the presidential candidate",Negatif
kalau perkara apbn udah sadar kalau bansos dari apbn cuma itu proyek infrastruktur cari aku udah kali bahas bangkrut bumn tetep takut sama anies perkara berhentiin ikn riwayat reklamasi,"as for the apbn case, i'm aware that social assistance from the apbn is just an infrastructure project. look, i've discussed bankruptcy several times, but i'm still afraid of anies regarding the case of stopping ikn's history of reclamation.",Negatif
catat ikn jadi beban negara sangat berat,note that fish is a very heavy burden on the state,Negatif
owalaaahh baru tau aku nyata ikn ada gegara proyek reklamasi nya gagal,"owalaaahh, i just found out that it was actually because the reclamation project failed",Negatif
sad banget kekeuh 02 ngaku swing voter jangan2 dia gk berani bela soal fakta jelek spt ubah atur mk enak makanya dalih swing voter wkwk jadi penasaran mmg bagus hilir ikn dia apa sampe milih alas itu,"it's really sad that 02 claims to be a swing voter, don't think he doesn't have the courage to defend ugly facts like changing the rules, so it's good, that's why he's a swing voter, wow, i'm curious, what's good about his fish downstream that he chose that base?",Negatif
kirain atas foto ikn sdh jadi konsep green city ,i think the photo above has become a green city concept,Negatif
kalo sama pdip 3 periode selma pdip kuasa rakyat susah bbm dinaikkn presiden pdip diam tuju ikn kritik presiden lapor terus khianat jokowi baru teriak demokrasi nanti gitu lagi makanya capres jgn dijdikn berhala jdinya dkhianati,"if it's the same as pdp for 3 terms, then pdp will have people's power, it's hard for bbm to increase the pdp president, stay silent and criticize the president, keep reporting, betray jokowi, then shout about democracy, it'll be like that again, that's why presidential candidates shouldn't be made into idols, so they'll be betrayed.",Negatif
kalo diskusi sama biasa ngebahas hilir amp ikn kak mungkin salah satu alas milih paslon tsb trs kayak makan framing tiktok omong bnr2 persis kaya gin emang bnr tiktok tuh pengaruh banget sih sadly banget hoax ttg 01 sana,"if the discussion is the same as usual, discussing downstream and fish, maybe one of the reasons for choosing a candidate pair is that it's like eating tiktok framing, talking really, exactly like gin. it's true that tiktok has a really big influence, it's really sad, it's a hoax about 01 there.",Negatif
muka gile kamu mungkin prabowo naikin gaji asn tni polri bengkalai ikn ma kagak jadi makan siang gratis susu ,"your face is crazy, maybe prabowo will increase the salary of the indonesian national police (tni) civil servants and ignore it so it won't be a free milk lunch",Negatif
pas gue tanya alas gamau milih 3 partai kalo abah malah cuma gara2 takut ikn dilanjutin yaelah,"when i asked why you didn't want to vote for 3 parties, if you did, it was just because you were afraid it would continue, okay?",Negatif
masa temenku bilang pilih karena kasi udah tua terus ikn jalan soal pegang saham udah ikut bangun ikn kalau pilih 1 ikn galanjut kek be like fak kata tehh yang perlu kasihan skrg rakyat kalau yang jadi,when my friend said to choose because kasi is already old then ikn goes about holding shares and has already got up ikn if you choose 1 ikn go ahead kek be like fak said tehh who needs to feel sorry for the people now if that is the case,Negatif
ketua doank dukung ikn lain mana,"chairman, do you support other fish?",Negatif
faedah lama libur semester sering bantu ibu buat masak bismillah 2024 punya warung sunda ikn,long term benefits of semester break often help mother to cook bismillah 2024 owning a sundanese fish stall,Negatif
produk gagal mau pimpin nagara bikin malu 270 juta rakyat,the failed product of wanting to lead the country embarrassed 270 million people,Negatif
lagi orang kamu dukung semua gagal,the people you support all fail,Negatif
9 th gembar gembor bangun infrastruktur untuk buah jembatan desa sj tak mampu bangun tak guna kereta api cepat ikn food estate tel ratus triliun fasilitas dasar infrastruktur desa sj tak bangun rakyat desa buka mata jgn mau bodoh,9 years fanfare building infrastructure for fruit sj village bridge can't afford to build it doesn't use fast train ikn food estate tel hundred trillion basic facilities sj village infrastructure can't be built village people open their eyes don't want to be stupid,Negatif
anjay langsung hukum orang kalimantan abis ngusik ikn ,anjay immediately punished the kalimantan people after disturbing the fish,Negatif
yg dukung dukung sama2 bodoh,those who support it are both stupid,Negatif
pak sibuk bangun ikn pada bangun provinsi2 tinggal heran masih yang buta mata hati,"sir, you are busy building the fish and building the provinces, you just have to wonder who is still blind, the eyes of the heart",Negatif
benar tani di proyek food estate ikn ya emang ada halusinasi bikin radang otak hati halal segala cara kuasa sori yee sori yee ,"it's true that farmers in the food estate project, yes, there are indeed hallucinations that cause inflammation of the brain, heart, halal, all the power of power, sorry yee, sorry yee",Negatif
mulai dengan food estate ikn kendeng pakel tumpang pitu papua geotherman dieng rob semarang asap jakarta wadas tamansari dago elos rempang urutsewu tambang emas trenggalek nyia pltu batang pltu cirebon kurang kita tambahin bawah,starting with food estate ikn kendeng pakel tumpang pitu papua geotherman dieng rob semarang smoke jakarta wadas tamansari dago elos rempang urutsewu trenggalek gold mine nyia batang power plant cirebon less we add below,Negatif
pohon di tebang buat ikn mana yaa,trees are cut down for fish,Negatif
 gk masyarakat bodoh mau gabung krna barter 1 dapat proyek food easte lahan beliau kuasa 2 dapat proyek ikn 3 dukung pilpres 2024 beliau sendiri kata bisnis macet gk kuasa,"don't stupid people want to join because of bartering? 1. get the food easte project, the land he controls. 2. get the fish project. 3. support the 2024 presidential election. he himself says business is stalled. no power.",Negatif
iy maafya sibuk benerin ikn ikat kepompong nasional,"yes, sorry, i'm busy fixing the national cocoon",Negatif
baru mau tawar diri trus baca mau tinggal ikn  are you serious,i was just about to offer myself up then just read and say are you serious,Negatif
akhirnyaaaa yang bahassss alhamdulilah puji tuhan haleluya so adalah alas knp 2030 butuh militer kuat alas knp ikn bukan masalah sepele biasa yang sepele akan bikin 10 negara was was,"finally what was discussed, thank god, thank god, hallelujah, so that's the reason why 2030 needs a strong military, the reason why ikn is not an ordinary trivial problem that will make 10 countries anxious",Negatif
kalau uu soal calon wakil presiden bisa revisi tutup mungkin uu ikn sebenernya perlu hindar hanya optimal satu titik baru nol lupa titik lain sudah olah ngutamain anak bungsu kakak dilupain,"if the law is about the vice presidential candidate, you can revise it, maybe you actually need to avoid it, only optimally one point, then zero, forget the other point, you have already prioritized the youngest child, brother, forget it",Negatif
panglima jilah tuju alam sudah rusak kalimantan tanam beton2 ikn kata guna sia2 kan logika nya alam rusak baik bukan malah di ancurin,"panglima jilah tui nature has been damaged, kalimantan, planting concrete, words are useless, isn't it the logic that nature is damaged, not destroyed?",Negatif
melayu duduk asli singapur tinggal pinggir jadi tonton ikn siapa bila bangun serah oligarki asing maksud hgu ikn 190 tahun wna hilir siap bila sda asai oligarki asing,"malays, native to singapore, live on the sidelines, so watch ikn, who when you wake up hand over to foreign oligarchs, what does hgu ikn mean for 190 years, wna downstream is ready when sda asai foreign oligarchs",Negatif
lama janji jokowi kena esemka indosat hutang bagi2 kursi import rupiah roket ikn non apbn bukti lama 9 tahun masih yang percaya ucap jokowi dukung pilih no 1 amin,long ago jokowi's promise was subject to esemka indosat's debt for 2 seats imported rupiah rocket ikn non apbn old proof 9 years old still believers said jokowi supports vote no 1 amen,Negatif
bisa argumen soal ikn bukan solusi perata rasa tidak punya influence ajak orang lihat argumen beda argumen bisa guna jadi alat kampanye bang tahan dulu bang saya tau anda udah gatel ,"you can argue about fish, it's not a solution to level out feelings, it doesn't have influence, invites people to look at different arguments, arguments can be used as a campaign tool, bro, hold on, bro, i know you're already confused.",Negatif
nusantara green pesantren upaya wujud visi ikn kota hutan yang lanjut kompascom baca berita iklan download aplikasi,"nusantara green islamic boarding school is an effort to realize the vision of ikn, a forest city that continues kompascom, read news, advertisements, download the application",Negatif
kurang cukup sang raja menfaatkan orang dayak buat tameng nya  tidak sadar janji bangun dayak center di ikn nyata nol putul,"it wasn't enough that the king used dayak people as shields, he didn't realize that the promise to build a dayak center in ikn was actually zero putul.",Negatif
tol becakkayu tiang pancang udah puluh tahun sampe akhir jadi tol becakkayu bayang kalo ikn kondisi kaya sekrng ngga tuntas jadi,the becakkayu toll road has been piling for decades until it finally became the becakkayu toll road. imagine if the current conditions were not complete,Negatif
stop politik dynasty udah terobos stop ikn stop food estate uang maju didik udah itu terobos,"stop dynasty politics, it has been broken through, stop ikn, stop food estate, money, advance education, it has been broken through",Negatif
bloomberg yang dulu sebut ikn beranta benar tidak bukti,"bloomberg, who previously called ikn a mess, has no proof",Negatif
sempat plin plan terus balik dukung ikn kek warga takut plin plan,i was wishy-washy and kept coming back to support ikn because people were afraid of being wishy-washy,Negatif
ikn mulai serap tenaga kerja warga najam utara jalan sekitar wilayah bangun perlahan baik justru warga kalimantan heran orang jawa fafifu wasweswos sok nolak ikn aspek ekonomi duduk sana perlahan naik,"ikn is starting to absorb the workforce, the residents of north najam, the roads around the area are getting up slowly, in fact, the kalimantan residents are surprised, the javanese people, fafifu, areweswos, pretend to refuse, ikn, the economic aspect is sitting there, slowly increasing.",Negatif
ikn proyek mega-giga-tera-exa-ultra korupsi kasih makan artis2 tentu pejabat2 polisi tni ya hasil -nya ikn makanya ngoyo usaha keras dukung prabowo lanjut itu proyek,"ikn's mega-giga-tera-exa-ultra corruption project feeds artists, of course tni police officials, yes, the results are ikn, that's why we're working hard to support prabowo and continue that project",Negatif
pasu merah dayak minta prabowo buat dayak center ikn,red pasu dayak asks prabowo to build dayak ikn center,Negatif
jk soal ikn tidak mudah  tonton youtube karni ilyas club,"if it's about fish, it's not easy to watch youtube because it's ilyas club",Negatif
panglima jilah sampai probowo pasu merah minta buat dayak center ibu kota nusantara ikn,"panglima jilah until probowo pasu merah asked to build a dayak center for the capital of the archipelago, ikn",Negatif
tayang ya  jusuf kalla warning investasi asing ikn kalau china bikin jalan ikn jalan punya china  tonton youtube karni ilyas club,"show it, jusuf kalla, warning about foreign investment, if china builds a road, china will have a road, watch youtube, karni ilyas club",Negatif
ikn ajaa sekali giat bangun kotaa,i'm just very active in building the city,Negatif
dana jembatan bayar utang jebak china untuk bangun ikn korupsi kami rakyat sengsara suara kalian 5 tahun kami beli 200 ribu rupiah murah,"bridge funds to pay off china's trapped debts to build our corruption system, our people are miserable, your vote for 5 years we will buy it for 200 thousand cheap rupiah",Negatif
ma af rais aam pbnu balik nih justru presiden jokowi hina mendzalimi rakyat indonesia masuk nadhliyin halus kasat mata kasus rempang morowali ikn kac kanjuruhan pbnu kalem merem,"ma af rais aam pbnu is back, it's actually president jokowi who is despicable in tyrannizing the indonesian people, entering nadhliyin in a subtle, invisible case, the case of rempang morowali ikn kac kanjuruhan pbnu is calm and reserved",Negatif
ken deh ngetwit dampak langsung ikn hidup datang tanah kaltim takut kira buzzer saya bukan dukung ybs ,ken deh tweeted the direct impact of live fish coming to the land of east kalimantan i'm afraid of the buzzer i don't support ybs,Negatif
program asal mangap asal janji ikut2an bokapnya wakil proyek mercusuar ikn kereta cepat kasihan rakyat cekik pajak subsidi bbm hilang,"program as long as it is established as long as it promises to follow along with the father, the representative of the lighthouse project, ikn, the high-speed train, it's a pity for the people who are strangled, the fuel subsidy tax is gone",Negatif
program tidak masuk akal lebih gila ikn,more crazy nonsense program ikn,Negatif
belum boro-boro lirik sama perintah kan kalimantan cuma anak tiri dimanfaatin kaya alam maaf tiba ngomongin ikn i m just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives,"not yet wasted the lyrics and commands, kalimantan is just a stepchild used like nature, sorry for suddenly talking about ikn, i'm just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives",Negatif
ayo cak semangat jangan mau sayur oleh orang tolol debat kejam jgn sok santun cc,"come on bro, be enthusiastic, don't want vegetables by stupid people, have a cruel debate, don't act polite, cc",Negatif
mungkin maksud hikmat duit biasa aguan proyek ikn,maybe it means ordinary money wisdom and fish project support,Negatif
gw jadi curiga skenario pindah ikn ya bgini kamu mo bikin absurd absurd bijak gabakalan yang demo jir jauh,"i'm so suspicious that the scenario of moving fish is like this, you can make it absurd, absurd, wise, gabakalan, the demo will be far away",Negatif
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the dayak community, entrusting prabowo's message to build a dayak center",Negatif
l dicebokin trus lah bakal jadi sama ikn,i'll be fucked and then i'll be the same as ikn,Negatif
jabat voc tukang peras itu bisa laku listrik mahal beli 100 rb cuma 72 rb di sedot pungut 28 rb maling loo rejim modus pakai token jabat jago kandang bukti ikn laku laku jual asing haaaa voc loo jok,"the blackmailer's voc position can sell expensive electricity, buy 100 thousand, only 72 thousand, collect 28 thousand, thief loo regime, mode of using the jago jago token, proof of selling, selling foreign goods haaaa voc loo jok",Negatif
kasi sama admin project nya fitnah ngutang nyelewengin duit donasi sampe black campaign buat paslon padahal karna punya lahan ketar tir duit angus ikn,"give the project admin the slander of borrowing money, misappropriating donation money, even black campaigning for candidate pairs, even though because they have land, angus's money is tight.",Negatif
gw mah ikn lanjut asal bukan pegang jokowi,i'm going to continue as long as i don't hold jokowi,Negatif
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the dayak community, entrusting prabowo's message to build a dayak center",Negatif
iya emang makanya ngapain maksa bikin ikn kalo duit tidak ada investor belum ada emang sakit mau bikin rakyat sengsara,"yes, that's why you're forced to make fish if you don't have the money, there aren't any investors, it really hurts to make people miserable.",Negatif
fakta defisit gara2 ikn lrt,facts about the deficit due to lrt traffic,Negatif
kamu jahat baangg wkwkwkwk,you're evil bro hahaha,Negatif
saya prediksi belum proyek kereta cepat proyek ugal-ugalan rezim korup biaya bengkak bangun paksa laku investigasi akan dampak rakyat lagi bangun ikn akan tambah beban apbn,"i don't predict yet that the high-speed train project is a reckless project, a corrupt regime, inflated costs, forced construction, investigation will have an impact on the people's construction, it will add to the burden on the state budget",Negatif
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the dayak community, entrusting prabowo's message to build a dayak center",Negatif
kalau saya masalah ikn tetep jalan jadi rencana jangka panjang akan kaji bangun akan tetap tapi mungkin selesai periode beliau periode presiden datang ingat ikn sudah uu nya jadi akan tetap jalan,"if i have a problem, ikn will continue to run, so the long term plan will be reviewed, building it will remain, but maybe after his term, the presidential period comes, remember, ikn has already had its law, so it will continue to run.",Negatif
bisa jadi salah vendor filter konten nya dulu jadi murni masalah kontrak salah bukan bagi saham metland kuasa usaha punya proyek ikn bukan orang tampil videotron punya gagas mau revisi ikn,"it could be that the content filter vendor is at fault in the past, so it's purely a matter of wrong contract, not for metland shares, the business authority has an ikn project, not the person appearing on videotron, has the idea of ​​wanting to revise the ikn",Negatif
bukan karna ikn jadi menteri lempar dapil menang dapil bogor buncit alhasil gagal dpr trus tidak dapat posisi apa2 pdip partai diri bapakna dulu megawati sakittt dia sopan izin kluar balikin kta,"not because i became a minister, threw the electoral district, won the bogor electoral district, ended up failing in the dpr, then didn't get any position in the pdp party, my father used to be megawati, he was sick, he was polite, let me go, give us back",Negatif
siap kota2 kabupaten kalimantan selatan kalimantan tengah kalimantan timur lihat kayak kalian doain jadi projek gagal mikir btp harap warga sini thdp ikn kalau gagal duit negara habis dong lagi jadi korban wkkw how ignorant,"ready, cities, districts, south kalimantan, central kalimantan, east kalimantan, look like you prayed for the project to fail, think about it, i hope the people here will respond, if it doesn't work out, the state money will run out, you'll be a victim, wow, how ignorant",Negatif
alil apa alas akan bikin gua pulang ikn bintang iyaaa anak nih pakde yang ken alil buru2 nelfon travel,"alil, what, alas, will make me go home like a star? yes, this is the child, uncle, who knows alil, immediately called travel",Negatif
ijin nambahin min kdrt kalah debat rus tangis ikn ikh nang ,permission to add min kdrt lost the debate rus crying ikh nang,Negatif
wow we re living in our bubble segala info busuk perintah temen gue ajak debat batas obrol banjir dp 0 formule e ikn milih gemoy tidak sadar sedang bungkam perlahan,"wow, we're living in our bubble, all the rotten information that my friend ordered me to debate on, flood chat limits, dp 0 formule e, i'm choosing gemoy, i'm not aware that i'm slowly keeping quiet",Negatif
capres lebih jijik mendung lebih bodoh,the presidential candidate is more disgusted and more stupid,Negatif
aduhhh bilang apa otak kosong  sedih aku tuh benar rrr mending uang ikn buat sekolahin orang dungu tak kuat aku liat orang bodoh hoax,"ouch, what are you saying, my brain is empty, sad, i'm right, rrr, it's better to use fish money to go to school, stupid people don't have the strength, i see stupid people hoaxing",Negatif
ikn maksud,i mean,Negatif
anak korupsi takut sekali ikn lanjut penting anis presiden tahun 2024,children of corruption are very afraid of anis' important presidential candidate in 2024,Negatif
kalo dana lari ikn gimn dong,"if the funds run away, it's a game, bro",Negatif
iya ruu kalo beneran jadi jadi uu bisa ngapain uu kpk omnibuslaw ikn uu ite pt 20 semua uu sah rakyat biasa bisa ngapa2in justru bom jadi jangan salah pilih cegah orang track recordnya busuk tidak pilih,yes bill if it really happens uu can do what uu kpk omnibuslaw ikn uu ite pt 20 all uu valid ordinary people can do anything actually bomb so don't make the wrong choice prevent people with a rotten track record don't vote,Negatif
pns pemda dki pan soale nek pns pemda ikn ngarit sik babat alas ,dki regional government civil servants pan on the problem of local government civil servants looking to get rid of the tripe alas,Negatif
i hate this moment tahun suami bakal pindah balikpapan samarinda big boss sdh tau menang milu jadi pindah garap ikn cabang dekat ikn adlh kota ya alloh aku ken umpat sama negara,"i hate this moment of the year, my husband is going to move to balikpapan, samarinda, big boss, he knows he won the milu, so he moved to work on the ikn branch near ikn, which is a city, oh my god, i swear at the country",Negatif
bani israil laknat buat bunuh nabi banyak buat mungkar yang mereka buat,the people of israel were cursed to kill many of the prophets because of the evil they did,Negatif
kalo2 jadi presiden asing ikn wapresnya raja jakarta  kasi kakek,"if you were a foreign president, the vice president would be the king of jakarta, kasi grandfather",Negatif
ruu aneh lha kata ibu kota ikn kug gubernur jakarta tunjuk presiden pesimis pindah niye,"it's a strange bill, the capital city says, the governor of jakarta appoints a president who is pessimistic about moving",Negatif
bayar utang cina nutupin boncosnya ikn negara udah maladministrasi akut memang pilih 2 bukan 02 presiden chaos,"pay china's debt to cover the costs, the country is experiencing serious maladministration, indeed choose 2, not 02, president chaos",Negatif
yah baca isi dong jelas2 ngomong udh tau indonesia bnyak utang efek covid kekeuh jg bikin proyek ikn pdhal timingnya blum pas,"yes, read the contents, it's clear, i already know that indonesia has a lot of debt due to the effects of covid, i'm afraid to make a fish project even though the timing isn't right",Negatif
kok salah siapa2 yang suruh bikin jalan tol tidak bayar invoice trus malag bikin ikn ratus t,how come it's wrong for anyone who orders to build a toll road to not pay the invoice and then be lazy about making hundreds of thousands of dollars,Negatif
waduhhh gimana ikn ini wujud nyata investor takut investasi seperti,"wow, how is this a real manifestation of investors being afraid of investing like that?",Negatif
damping presiden jokowi tinjau ikn erick thohir optimistis training center pssi selesai bulan mei,"accompanying president jokowi to review the news, erick thorir is optimistic that the pssi training center will be completed in may",Negatif
presiden apresiasi bangun training center pssi ikn,president appreciates building pssi ikn training center,Negatif
jokowi tilik bangun pusat latih pssi ikn 20 persen,jokowi oversees building pssi training center with 20 percent interest,Negatif
