full_text,tokenized_and_stemmed,tweet_english
dia akan aman ikn lot lot,dia akan aman ikn lot lot,he'll be safe ikn lot lot
yunani punya selera,yunani punya selera,Greece has taste
otorita ibu kota nusantara oikn catat 345 letter of interest loi alias nyata minat investasi investor dan luar negeri ingin ikut gabung garap ikn nusantara nana mirdad bahrain bal bank mandiri yessica tamara,otorita ibu kota nusantara oikn catat 345 letter of interest loi alias nyata minat investasi investor dan luar negeri ingin ikut gabung garap ikn nusantara nana mirdad bahrain bal bank mandiri yessica tamara,Indonesian Capital Authority OIKN recorded 345 letters of interest LOI aka real investment interest from investors and foreigners who want to join in working on IKN Nusantara Nana Mirdad Bahrain Bal Bank Mandiri Yessica Tamara
ogah sakit tauuu,ogah sakit tauuu,"don't get sick, you know"
sama2 satu tuju cuan ikn ,sama2 satu tuju cuan ikn,both have one goal of earning money
pak minta buat ajar soal masyarakat adat wilayah ikn bukan buat nyerang buat siap kalo tanya masalah ini,pak minta buat ajar soal masyarakat adat wilayah ikn bukan buat nyerang buat siap kalo tanya masalah ini,"Sir, I asked you to teach about the indigenous peoples of the IKN region, not to attack, so be ready if you ask about this issue"
ntar,ntar,hang on
pernah,pernah,Once
pernah nyangka solo banyak makan guk guk dulu biasa makan guk guk bagi orang sulawesi bagi orang kalimantan bagi orang sumatra suku tentu nyata nyata,pernah nyangka solo banyak makan guk guk dulu biasa makan guk guk bagi orang sulawesi bagi orang kalimantan bagi orang sumatra suku tentu nyata nyata,"Have you ever thought that Solo eats a lot of woof, woof, used to eat woof, woof, for Sulawesi people, for Kalimantan people, for Sumatran people, the tribe is certainly real, real."
taman dekat dom ya taman bekapai,taman dekat dom ya taman bekapai,The park near the house is Bekapai Park
diantos meh apal ikn hehe,diantos meh apal ikn hehe,diantos meh apa likn hehe
mama anak anak,mama anak anak,mother of children
aku sempat diskusi dikit aku kalah soal gabisa jawab ikn banyak tidak tuju anies terang terang tolak ikn alas ikn perlu bagus akan maju kalimantan timur aku memang kerja salah satu proyek ikn makan pro,aku sempat diskusi dikit aku kalah soal gabisa jawab ikn banyak tidak tuju anies terang terang tolak ikn alas ikn perlu bagus akan maju kalimantan timur aku memang kerja salah satu proyek ikn makan pro,"I had a little discussion, I lost on the question, I couldn't answer a lot of fish, I didn't go, Anies clearly rejected the fish, the fish needs to be good, I will advance in East Kalimantan, I'm working on one of the pro fish food projects"
gambut cocok singkong mending tanam padi seperti bukan lahan gambut jadi food estate,gambut cocok singkong mending tanam padi seperti bukan lahan gambut jadi food estate,"Peat is suitable for cassava, it's better to plant rice instead of peat land to become a food estate"
akan sejarah ulang reklamasi proyek bohir rezim gagal anies jadi gubernur gagal reklamasi muncul ikn proyek bohir taruh besar anies jadi presiden,akan sejarah ulang reklamasi proyek bohir rezim gagal anies jadi gubernur gagal reklamasi muncul ikn proyek bohir taruh besar anies jadi presiden,will re-history reclamation Bohir project regime failed Anies becomes governor Failed reclamation appears IKN Bohir project makes big bet Anies becomes president
komitmen pak ganjar terus ikn,komitmen pak ganjar terus ikn,Mr Gangar's commitment continues
ubah paslon 1 pak ganjar terus lanjut rampung ikn,ubah paslon 1 pak ganjar terus lanjut rampung ikn,"change the candidate pair, 1 pack of rewards and continue to complete the IKN"
pak ganjar komitmen lanjut bangun ikn,pak ganjar komitmen lanjut bangun ikn,"Sir, reward your commitment to continue building IKN"
berterimakasih ikn penuh aseng gituh om,berterimakasih ikn penuh aseng gituh om,"Thank you, I'm full of fun, uncle"
kalau aku orang tua sih masalah ikn soal tinggal kalimantan orang tua gasuka anies kata anies tolak ikn aneh2 sih aku rasa cukup penting,kalau aku orang tua sih masalah ikn soal tinggal kalimantan orang tua gasuka anies kata anies tolak ikn aneh2 sih aku rasa cukup penting,"If I'm a parent, the issue of living in Kalimantan is that my parents don't like Anies. Anies says rejecting weird things, I think it's quite important."
buka jati diri manusia masing masing jadi pilih no 1 tuju ikn hilir sda indonesia kita tahu kubu pilih no 2 karena sifat orde baru terap korupsi kecil kecil amp yang penting rakyat kenyang no3 cerdas,buka jati diri manusia masing masing jadi pilih no 1 tuju ikn hilir sda indonesia kita tahu kubu pilih no 2 karena sifat orde baru terap korupsi kecil kecil amp yang penting rakyat kenyang no3 cerdas,"open the identity of each human being, so choose number 1 for downstream fish in Indonesia, we know that the camp chooses number 2 because of the nature of the new order, small and small corruption applies, and the important thing is that the people are full, number 3 is smart"
saat tempat suatu provinsi papua ikn lebih dekat jawa homebase dan lihat ada alam baru seru jadi ke homebase gakpapa,saat tempat suatu provinsi papua ikn lebih dekat jawa homebase dan lihat ada alam baru seru jadi ke homebase gakpapa,"When a place in the province of Papua is closer to Java's home base and you see new nature, it's exciting, so it's okay to go to home base."
orang butuh kerja uang makan bukan ikn mau ini tolol,orang butuh kerja uang makan bukan ikn mau ini tolol,"People need work, money to eat, don't want to, this is stupid"
iya benar jga awal tuju biar jawasentris jdi simbol tpi kalau lihat ada rakyat indo ini buat makan susah lho ikn terlalu buru visi amin itu kita buat masyarakat mandiri dlu cari uang sendiri sejahtera bru ikn,iya benar jga awal tuju biar jawasentris jdi simbol tpi kalau lihat ada rakyat indo ini buat makan susah lho ikn terlalu buru visi amin itu kita buat masyarakat mandiri dlu cari uang sendiri sejahtera bru ikn,"Yes, it's true that the initial goal is to make Java-centricity a symbol, but if you see that there are Indonesian people, it's difficult for them to eat, you know, I'm too hasty in my vision, Amen, we're making an independent society first to earn our own money and be prosperous, bro."
untuk ikn dana alutsista,untuk ikn dana alutsista,for defense equipment funds
nah bahas perata ka ikn sudah jalan mas gibran sendiri sudah nyata ini simbol perata bangun indonesia arti tidak langsung siapa presiden tetep laku perata betul,nah bahas perata ka ikn sudah jalan mas gibran sendiri sudah nyata ini simbol perata bangun indonesia arti tidak langsung siapa presiden tetep laku perata betul,"Well, let's talk about Perata ka, it's already running, Mas Gibran himself, it's obvious, this is the Indonesian symbol for Perata, the indirect meaning of who is the president, it's still going to be true."
anies ganjar sama sama kualitas sih bkin beda ikn kak tinggal di sulawesi mungkin kk kurang ngerti tpi timpang sosial bangun jauh gila dana anggar all in ikn yang dri tanah saya lebih baik perata,anies ganjar sama sama kualitas sih bkin beda ikn kak tinggal di sulawesi mungkin kk kurang ngerti tpi timpang sosial bangun jauh gila dana anggar all in ikn yang dri tanah saya lebih baik perata,"Anies rewards are the same, the quality is different, bro, I live in Sulawesi, maybe you don't understand, but the social imbalance is very crazy, the fencing funds are all in, the fish from my land is better leveled"
ya benar karena kan kondisi uang negara bakal defisit genjot ikn impor sapi india untuk naikin gaji jabat jadi rakyat kasih makan siang bisa makan sekali hari,ya benar karena kan kondisi uang negara bakal defisit genjot ikn impor sapi india untuk naikin gaji jabat jadi rakyat kasih makan siang bisa makan sekali hari,"Yes, that's right, because the condition of the state's money will be in deficit, increasing imports of Indian cattle to increase official salaries so that people who give lunch can eat once a day."
sebenernya kalo nolak 100 ikn bakal ngebikin rugi negara seperti hambalang lebih gelontor dana apbn udah banyak masuk ikn langkah bijak presiden ikut entah siapa ya ikn tetap lanjut tidak abai kota,sebenernya kalo nolak 100 ikn bakal ngebikin rugi negara seperti hambalang lebih gelontor dana apbn udah banyak masuk ikn langkah bijak presiden ikut entah siapa ya ikn tetap lanjut tidak abai kota,"In fact, if you refuse 100 IKN, it will cause losses to the state, like a hindrance, a lot of APBN funds have already been poured in. I don't know who the president is following wise steps, I'm still going to continue, don't ignore the city"
urgensi ikn tuh apa lebih penting ngebangun ikn jabat lebih penting ngebangun sekolah guna cerdas bangsa ngebangun rumah sakit untuk selamat warga indonesia jangan lupa sila 5 adil sosial seluruh rakyat indonesia,urgensi ikn tuh apa lebih penting ngebangun ikn jabat lebih penting ngebangun sekolah guna cerdas bangsa ngebangun rumah sakit untuk selamat warga indonesia jangan lupa sila 5 adil sosial seluruh rakyat indonesia,"What's the urgency of building an office? What's more important is building a school for the intelligent nation, building a hospital for the safety of Indonesian citizens, don't forget the 5 principles of social justice for all Indonesian people."
bahas si 02 pak anies 1 menghianati prabowo nyapres offensive serang prabowo 2 dp 0 rupiah 3 proyek ikn mau diterusin proyek kembang 40 kota mustahil 4 cuman jago retorika minim prestasi yang banyak bahas mereka,bahas si 02 pak anies 1 menghianati prabowo nyapres offensive serang prabowo 2 dp 0 rupiah 3 proyek ikn mau diterusin proyek kembang 40 kota mustahil 4 cuman jago retorika minim prestasi yang banyak bahas mereka,discuss the 02 Pak Anies 1 betraying Prabowo running for president offensively attacking Prabowo 2 dp 0 rupiah 3 fish project wants to continue flower project 40 impossible cities 4 only good at rhetoric minimal achievements they discuss a lot
tambahin kalo sumur resap banyak gagal salah efektif sumur resap sekarang dipake ikn solo lalu kalo ngomong banyak rusak kasih tau rusak jauh lebih sedikit pada hasil,tambahin kalo sumur resap banyak gagal salah efektif sumur resap sekarang dipake ikn solo lalu kalo ngomong banyak rusak kasih tau rusak jauh lebih sedikit pada hasil,"add that if the infiltration well fails a lot, it's wrong, the absorption well is now used by IKN Solo, then if it says a lot of damage, tell me the damage is much less in the results"
temen gue dukung 02 selalu bawa ini 1 anies bohong kata gamau nyapres 2 terima kasih sama p 3 bakal lanjutin ikn 4 bisa benahin jakarta paling baru ngerasa p nyalon 4x tau yang beres indo kata bangun eco park guna,temen gue dukung 02 selalu bawa ini 1 anies bohong kata gamau nyapres 2 terima kasih sama p 3 bakal lanjutin ikn 4 bisa benahin jakarta paling baru ngerasa p nyalon 4x tau yang beres indo kata bangun eco park guna,my friends support 02 always bring this 1 anies lied saying he doesn't want to run for president 2 thank you p 3 will continue with iKn 4 can fix jakarta most recently felt p running 4x know what's going on indo says build eco park guna
ikn nusantara tingkat ekonomi wilayah,ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
uji coba mobil terbang 2024 ikn nusantara,uji coba mobil terbang 2024 ikn nusantara,2024 IKN Nusantara flying car trial
kualitas jalan tol ikn nuaantara baik indonesia,kualitas jalan tol ikn nuaantara baik indonesia,The quality of the IKN Nuaantara toll road is good in Indonesia
ikn nusantara tingkat ekonomi wilayah,ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
ishalla ikn meri,ishalla ikn meri,ishalla ikn meri
ubah ikn jadi hutan rimba  ubah jalan tol jadi sawah  ubah umk kita dari 4 500 000 - jadi 1 500 000 -  kita ubah presiden kita dari orang pribumi jadi orang asing yaman  ngeri kali ustadz kita ini bah,ubah ikn jadi hutan rimba ubah jalan tol jadi sawah ubah umk kita dari 4 500 000 - jadi 1 500 000 - kita ubah presiden kita dari orang pribumi jadi orang asing yaman ngeri kali ustadz kita ini bah,"change fisheries into jungles, change toll roads into rice fields, change our salary from 4,500,000 - to 1,500,000 - we change our president from a native to a Yemeni foreigner, how scary is our Ustadz?"
prabowo cinta rakyat kampanye banjarbaru prabowo klaim warga pulau kalimantan dukung ikn kalimantan selatan,prabowo cinta rakyat kampanye banjarbaru prabowo klaim warga pulau kalimantan dukung ikn kalimantan selatan,Prabowo loves the people of the Banjarbaru campaign. Prabowo claims that the residents of the island of Kalimantan support the South Kalimantan fishery
ikn waris si bandit segera jadi buka pintu jeblos si bandit penghianat seret masuk penjara nusakambangan hilir proyek apbn psn penuh korup amp nepotisme akan jadi tabir nya bagaimana bangsat jokowi rampok uang rakyat,ikn waris si bandit segera jadi buka pintu jeblos si bandit penghianat seret masuk penjara nusakambangan hilir proyek apbn psn penuh korup amp nepotisme akan jadi tabir nya bagaimana bangsat jokowi rampok uang rakyat,"The bandit's inheritance will soon open the door, the traitorous bandit will be dragged into prison in Nusakambangan downstream, the APBN PSN project is full of corruption and nepotism, it will be the cover for how Jokowi's son of a bitch robs people's money"
rakyat butuh ikn rakyat butuh hidup kerja layak sejahtera ke makmur seluruh rakyat indonesia rakyat butuh ubah,rakyat butuh ikn rakyat butuh hidup kerja layak sejahtera ke makmur seluruh rakyat indonesia rakyat butuh ubah,The people need money. The people need a decent working life to prosper for all Indonesian people. The people need change
hahahha liat banget kau tolol sekarang investor asing udh sedia invest ikn berapa nol  arti kalau ikn lanjut bakal pake apbn trus otak kau bilang dana bagi besar negara lain dukung 02 bodoh kayak kau gin kah,hahahha liat banget kau tolol sekarang investor asing udh sedia invest ikn berapa nol arti kalau ikn lanjut bakal pake apbn trus otak kau bilang dana bagi besar negara lain dukung 02 bodoh kayak kau gin kah,"hahahha I see you are really stupid, now foreign investors are ready to invest in IKN, how much does it mean that if IKN continues, you will use APBN, then your brain says funds for big other countries support 02, stupid like you, right?"
aku curiga ikn bahkan semua bangun lama tuh sebenernya cuma jadi lahan basah buat perintah doang,aku curiga ikn bahkan semua bangun lama tuh sebenernya cuma jadi lahan basah buat perintah doang,I suspect that even all the old buildings are actually just wetlands for orders
bismillah aww yuk semua investor partisipasi doa usaha dukung kembang unggul kalimantan timur jadi ikn segala baik investor milik tuhan mahaesa segingga wujud apa yang amanat dahulu aamiin aww,bismillah aww yuk semua investor partisipasi doa usaha dukung kembang unggul kalimantan timur jadi ikn segala baik investor milik tuhan mahaesa segingga wujud apa yang amanat dahulu aamiin aww,"bismillah aww come on, all investors participate, pray for business to support the superior development of East Kalimantan, so all good investors belong to God Almighty, so that what is promised first, amen, aww"
mbok pada mikir kalian 02 amp 03 satu tumbang no 01 buat lanjut ikn sudah kalian antem ,mbok pada mikir kalian 02 amp 03 satu tumbang no 01 buat lanjut ikn sudah kalian antem,I think you guys are 02 amp 03 one down number 01 to continue Ikn you already ante
prabowo rakyat kalimantan antusias perintah tetap ikn kaltim,prabowo rakyat kalimantan antusias perintah tetap ikn kaltim,"Prabowo, the people of Kalimantan are enthusiastic about the order to maintain IKN East Kalimantan"
pantesan ngebet ampe keluar partai punya proyek di ikn ,pantesan ngebet ampe keluar partai punya proyek di ikn,It's no wonder you're being pushed around until you leave the party to have a project at IKN
nah makanya ngejelasinnya diromantisasi bilang tiap tahun dapet hasil pahala insyaallah bakal ngalir terus petenteng ngakuin kalau jalan punya ya semacemnya gitu sampein soal ikn dibatalin ya sama anies ganti 40 kota bakal ditingkatin,nah makanya ngejelasinnya diromantisasi bilang tiap tahun dapet hasil pahala insyaallah bakal ngalir terus petenteng ngakuin kalau jalan punya ya semacemnya gitu sampein soal ikn dibatalin ya sama anies ganti 40 kota bakal ditingkatin,"Well, that's why explaining it is romanticized, saying that every year you get the reward, God willing, it will flow, and then the petenteng admits that if the road has it, it's like that, until the fish issue is canceled, yes, with Anies, 40 cities will be increased."
temu tarik basis ppp mana koalisi pdip dukung ganjar justru lebih banyak pilih prabowo anies mayoritas duduk kalimantan pilih prabowo nampaknya sangat ikn tetap lanjut meski anies tawar alternatif lain,temu tarik basis ppp mana koalisi pdip dukung ganjar justru lebih banyak pilih prabowo anies mayoritas duduk kalimantan pilih prabowo nampaknya sangat ikn tetap lanjut meski anies tawar alternatif lain,"The PPP basis of the meeting is that the PDP coalition supports Ganjar, in fact, most of them vote for Prabowo."
hack akun orang berapa bang resah sekali banyak korban tipu khusus nya perempuan,hack akun orang berapa bang resah sekali banyak korban tipu khusus nya perempuan,"How many people's accounts have been hacked? It's very worrying, so many victims of fraud, especially women"
dana ikn bagi besar investasi dri negara kalau buat guru2 negara mana mau investasi apbn pakai ikn hanya beberapa persen lain investor jdi gausah bodoh2 banget lah,dana ikn bagi besar investasi dri negara kalau buat guru2 negara mana mau investasi apbn pakai ikn hanya beberapa persen lain investor jdi gausah bodoh2 banget lah,"IKN funds are for large investments from the state. If it's for teachers, which countries want to invest, the APBN uses IKN, only a few percent, other investors don't have to be so stupid."
emg salah prof mahfud mah malah bilang ikn investor sama sekali pdhl ada dari swasta kayak kamu asal deh,emg salah prof mahfud mah malah bilang ikn investor sama sekali pdhl ada dari swasta kayak kamu asal deh,"It's really Prof. Mahfud's mistake to even say that there are no investors at all, even though there are private companies like you, that's okay."
bro anies update tuh kata mau lanjut ikn lagi bangun ikn dosa jadi ngga perlu bawa2 tobat wkwk,bro anies update tuh kata mau lanjut ikn lagi bangun ikn dosa jadi ngga perlu bawa2 tobat wkwk,"bro, anies update, you said you want to continue, you're awake, you're a sin, so you don't need to bring repentance hahaha"
tonton podcast kemal palevi sama sammy notaslimboy bg buat jawab ikn,tonton podcast kemal palevi sama sammy notaslimboy bg buat jawab ikn,Watch Kemal Palevi and Sammy Notaslimboy's podcast to answer IKN
ganjar mau komitmen lanjut bangun ikn lanjut bangun sdm mental anak bangsa program3 masuk akal ingat hutang negara makin tinggi negara perlu hemat program lebih manfaat,ganjar mau komitmen lanjut bangun ikn lanjut bangun sdm mental anak bangsa program3 masuk akal ingat hutang negara makin tinggi negara perlu hemat program lebih manfaat,"Rewards, want commitment to continue building IKn, continue building the mental resources of the nation's children, program3 makes sense, remember that the national debt is getting higher, the country needs to save on programs that are more beneficial"
ikn novo dorflex max na pain,ikn novo dorflex max na pain,ikn novo dorflex max na pain
eh serius penasaran what if calon presiden pilih usung tema ubah which is kontra sama ikn jadi bangun udah jalan sekian persen gin apa dianggurin gitu kah i mean i don t fully understand what kind of cons they mean,eh serius penasaran what if calon presiden pilih usung tema ubah which is kontra sama ikn jadi bangun udah jalan sekian persen gin apa dianggurin gitu kah i mean i don t fully understand what kind of cons they mean,"eh, I'm seriously curious what if the presidential candidate chooses to carry the theme, change which is the cons and IKN, so when I wake up, I'm walking, what percentage is it, is it idle, is that what I mean, I don't fully understand what kind of cons they mean"
kabinet rasa timses pak lurah jg cm ngurusi ikn pilpres indonesia dlm kondisi auto pilot,kabinet rasa timses pak lurah jg cm ngurusi ikn pilpres indonesia dlm kondisi auto pilot,The village head's timses cabinet also looks after the Indonesian presidential election in auto pilot condition
gua kalo jadi pak jokowi kek susah tidur mikirin lanjut ikn,gua kalo jadi pak jokowi kek susah tidur mikirin lanjut ikn,"If I were Mr. Jokowi, I would have trouble sleeping thinking about continuing IKN"
ni lagi pak anies bawa ikn anjrit lah ikn jangan dijadiin isu bahaya banget orang sumpah ikn cita presiden indonesia jangan dihancurin pak,ni lagi pak anies bawa ikn anjrit lah ikn jangan dijadiin isu bahaya banget orang sumpah ikn cita presiden indonesia jangan dihancurin pak,"Here again, Mr. Anies is bringing anjrit fish, don't make it into a very dangerous issue, people swear that the ideals of the Indonesian president should not be destroyed, sir."
sulit memang kalau nyangkut duit gede mo bilang kalau rejeki kemane percumb bilang seterah kamu cuma kasihan orang jakarta bakal gusur kalau ikn lanjut,sulit memang kalau nyangkut duit gede mo bilang kalau rejeki kemane percumb bilang seterah kamu cuma kasihan orang jakarta bakal gusur kalau ikn lanjut,"It's really difficult if you're involved in big money, you can say that you're lucky, wherever you go, you can say whatever you want, it's just a pity, the people of Jakarta will evict you if you continue"
satu periode bangun 5 ikn,satu periode bangun 5 ikn,one wake period 5 ikn
gua tau berapa besar influence gilang so please not the ikn,gua tau berapa besar influence gilang so please not the ikn,I know how big Gilang's influence is so please not the IKN
bawa deh isu ham mk apa but not the ikn not our ikn,bawa deh isu ham mk apa but not the ikn not our ikn,"Bring up the issue of whether or not human rights are the issue, but not the ikn, not our ikn"
1 meski cak imin saya kurang pilih cak imin pkb bisa anggap remeh punya suara nu 2 nasdem pkb soal ikn karna situasional realistis siapa sekarang mau invest ikn mau dipaksain 3 mereka hormat konstitusi,1 meski cak imin saya kurang pilih cak imin pkb bisa anggap remeh punya suara nu 2 nasdem pkb soal ikn karna situasional realistis siapa sekarang mau invest ikn mau dipaksain 3 mereka hormat konstitusi,"1 even though Cak Imin, I don't choose Cak Imin PKB, I can take it for granted that I have a vote. 2 Nasdem PKB is about IKN because of the realistic situation, whoever wants to invest in IKN now wants to be forced to do so 3 They respect the constitution"
no no apa yang bawa ikn karna highly cost no kalo sekarang kapan gua kalo nang darah nang gua plis plis plis nonton video jelas rk soal ikn youtube media center indonesia maju i am begging you,no no apa yang bawa ikn karna highly cost no kalo sekarang kapan gua kalo nang darah nang gua plis plis plis nonton video jelas rk soal ikn youtube media center indonesia maju i am begging you,no no no what to bring fish because it's very cost no if now when will it be me if my blood will come please pls please watch the clear video rk about fish youtube media center indonesia advanced i am begging you
anies soal milih wakil leluasa usung ubah amp tolak ikn nasdem amp pkb tuju ae tuh ikn cak imin dukung jokowi 3 periode surya paloh kalau konstitusi mungkin juga bakal usung jokowi,anies soal milih wakil leluasa usung ubah amp tolak ikn nasdem amp pkb tuju ae tuh ikn cak imin dukung jokowi 3 periode surya paloh kalau konstitusi mungkin juga bakal usung jokowi,"Anies on the issue of electing representatives is free to push for changes & rejects the National Democratic Party and the PKB, I want to support Jokowi for 3 terms, Surya Paloh, if there is a constitution, maybe Jokowi will also be promoted"
jelas first ikn the biggest problem nambahin utang negara jelas kalian mau pajak makin tinggi karna banyak harus subsidi tidak jadi subsidi amin sini jelas sikap misi,jelas first ikn the biggest problem nambahin utang negara jelas kalian mau pajak makin tinggi karna banyak harus subsidi tidak jadi subsidi amin sini jelas sikap misi,"first clearly, the biggest problem is increasing the national debt, obviously you want higher taxes because a lot of it has to be subsidized, it won't be a subsidy, amen, here's the clear attitude of the mission"
jauh si banyak masalah ikn tapi kemarin sempat liat gagas anies pas desak anies jadi sama ngertii akhir buka pikir yang pindah juga tetep bingungg wkwk,jauh si banyak masalah ikn tapi kemarin sempat liat gagas anies pas desak anies jadi sama ngertii akhir buka pikir yang pindah juga tetep bingungg wkwk,"There's a lot of problems, but yesterday I saw Anies' idea when he was pushing Anies, so I understood and finally opened my mind and decided to move, but I'm still confused, hahaha"
otorita ikn revitalisasi 5 sekolah ikn nusantara,otorita ikn revitalisasi 5 sekolah ikn nusantara,IKN Authority revitalizes 5 Indonesian IKN schools
capres nya di aku,capres nya di aku,the presidential candidate is me
ikn nusantara jadi tuju investasi dunia,ikn nusantara jadi tuju investasi dunia,Indonesian fish has become a global investment destination
ikn jadi pusat kembang budaya maju,ikn jadi pusat kembang budaya maju,IKN has become a center for the development of advanced culture
hidmat tuhan ikn,hidmat tuhan ikn,God's wisdom Ikn
kalo orng paham skala prioritas bisa terima mudah kak tuh balas twit aku ttg urgensi ikn tetep bisa masuk dekat analisanya beda,kalo orng paham skala prioritas bisa terima mudah kak tuh balas twit aku ttg urgensi ikn tetep bisa masuk dekat analisanya beda,"If people understand the priority scale, they can easily accept it, bro, reply to my tweet about fish urgency, it can still be included in the analysis, it's different."
ga ikn,ga ikn,no way
pikirin soal ikn org2 kalimantan kata banyak yang tuju perata kata kalimantan maju seperti jakarta pdhl sadar egois banget nget nget bener2 buang anggar buat yang tidak urgent sama sekali ,pikirin soal ikn org2 kalimantan kata banyak yang tuju perata kata kalimantan maju seperti jakarta pdhl sadar egois banget nget nget bener2 buang anggar buat yang tidak urgent sama sekali,"think about fish, people in Kalimantan say that many people are aiming for the development of Kalimantan, like Jakarta, even though they realize that they are really selfish, they really waste money on things that are not urgent at all."
temenku dukung 02 argumen pertama gamau ikn mangkrak sama banyak kaya ngelihat maju proyek mercusuar kaya gitu jadi susah counter bawa timpang bangun sama kata gibran anak muda perlu tahu gimana 01 lebih pro muda,temenku dukung 02 argumen pertama gamau ikn mangkrak sama banyak kaya ngelihat maju proyek mercusuar kaya gitu jadi susah counter bawa timpang bangun sama kata gibran anak muda perlu tahu gimana 01 lebih pro muda,"my friend supports 02 the first argument, I don't want to stall, it's like seeing progress on a lighthouse project like that, so it's difficult to counter, bring lame, wake up, according to Gibran's words, young people need to know how 01 is more pro-young"
pak bas engga mau bawa aku ikn ya ,pak bas engga mau bawa aku ikn ya,Mr Bas doesn't want to bring me fish
iya ttg ikn tmn2 bahkan gatau ikn kalimantan timur bagi mana kasih tau kalo di kab paser kab kuta kartanegara itu babat hutan mulai bangun 0 anggar minimal 400t lalu kasih liat video bicara ttg ikn kaget,iya ttg ikn tmn2 bahkan gatau ikn kalimantan timur bagi mana kasih tau kalo di kab paser kab kuta kartanegara itu babat hutan mulai bangun 0 anggar minimal 400t lalu kasih liat video bicara ttg ikn kaget,"Yes, about TMN2 fish, I don't even know about East Kalimantan fish, how can I tell you that in Paser district, Kuta Kartanegara district, the forest tripe is starting to build 0 fences of at least 400t then let me see a video talking about shocked fish"
ubah apa orang ganjar bakal nerusin ikn,ubah apa orang ganjar bakal nerusin ikn,change what people are rewarded for and will continue to do it
