tokenized_and_stemmed,tweet_english,klasifikasi,klasifikasi bayes
ikn waris si bandit segera jadi buka pintu jeblos si bandit penghianat seret masuk penjara nusakambangan hilir proyek apbn psn penuh korup amp nepotisme akan jadi tabir nya bangsat jokowi rampok uang rakyat,the bandit's inheritance will soon open the door. the traitorous bandit will be dragged into prison in nusakambangan downstream. the apbn psn project is full of corruption and nepotism. this will be the cover for jokowi's son of a bitch robbing people's money.,Positif,Positif
rakyat butuh ikn rakyat butuh hidup kerja layak sejahtera ke makmur seluruh rakyat indonesia rakyat butuh ubah,the people need money. the people need a decent working life to prosper for all indonesian people. the people need change,Positif,Positif
aku curiga ikn bahkan bangun lama tuh sebenernya cuma jadi lahan basah buat perintah doang,"i suspect that even if it's been up for a long time, it's actually just a wetland for orders",Negatif,Positif
bismillah aww yuk investor partisipasi doa usaha dukung kembang unggul kalimantan timur jadi ikn segala baik investor milik tuhan yang mahaesa segingga wujud yang amanat dahulu aamiin aww,"bismillah aww come on, investors, participate, pray for business, support the superior development of east kalimantan, so all good investors belong to the almighty god, so that the form of the first mandate, amen, aww",Positif,Positif
prabowo rakyat kalimantan antusias perintah tetap ikn kaltim,"prabowo, the people of kalimantan are enthusiastic about the order to maintain ikn east kalimantan",Positif,Positif
nah makanya ngejelasinnya diromantisasi bilang tiap tahun dapet hasil pahala insyaallah bakal ngalir terus petenteng ngakuin kalau jalan punya ya semacemnya gitu sampein soal ikn dibatalin ya sama anies ganti 40 kota bakal ditingkatin,"well, that's why explaining it is romanticized, saying that every year you get the reward, god willing, it will flow, and then the petenteng admits that if the road has it, it's like that, until the fish issue is canceled, yes, with anies, 40 cities will be increased.",Positif,Positif
hack akun orang berapa bang resah sekali korban tipu khusus nya perempuan,"how many people's accounts are hacked? how worried are the victims of fraud, especially women?",Positif,Positif
emg salah prof mahfud mah malah bilang ikn investor sama sekali pdhl ada dari swasta kayak kamu asal deh,"it's really prof. mahfud's mistake to even say that there are no investors at all, even though there are private companies like you, that's okay.",Positif,Positif
bro anies update tuh kata mau lanjut ikn lagi bangun ikn dosa jadi ngga perlu bawa2 tobat wkwk,"bro, anies, update, he said he wanted to continue, i'm awake, i'm a sin, so i don't need to bring repentance hahaha",Positif,Positif
ganjar mau komitmen lanjut bangun ikn lanjut bangun sdm mental anak bangsa program3 masuk akal ingat hutang negara makin tinggi negara perlu hemat program lebih manfaat,"rewards, want commitment to continue building ikn, continue building the mental resources of the nation's children, program3 makes sense, remember that the national debt is getting higher, the country needs to save on programs that are more beneficial",Positif,Positif
ni lagi pak anies bawa ikn anjrit lah ikn jangan dijadiin isu bahaya banget orang sumpah ikn cita presiden indonesia jangan dihancurin pak,"here again, mr. anies is bringing anjrit fish, don't make it into a very dangerous issue, people swear that the ideals of the indonesian president should not be destroyed, sir.",Negatif,Positif
sulit memang kalau nyangkut duit gede mo bilang kalau rejeki kemane percumb bilang seterah kamu cuma kasihan orang jakarta bakal gusur kalau ikn lanjut,"it's really difficult if you're involved in big money, you can say that you're lucky, wherever you go, you can say whatever you want, it's just a pity, the people of jakarta will evict you if you continue",Negatif,Positif
1 meski cak imin saya kurang pilih cak imin pkb bisa anggap remeh punya suara nu 2 nasdem pkb soal ikn karna situasional realistis siapa yang mau invest ikn mau dipaksain 3 mereka hormat konstitusi,"1 even though cak imin i don't really choose cak imin pkb, i can take it for granted that i have a vote. 2 nasdem pkb is about ikn because of the realistic situation, whoever wants to invest in ikn wants to be forced to do so 3 they respect the constitution",Positif,Positif
no no apa yang bawa ikn karna highly cost no kalo sekarang lagi gua kalo nang darah nang gua plis plis plis nonton video jelas rk soal ikn youtube media center indonesia maju i am begging you,no no no what to bring fish because it's very cost no if now i'm going to have blood on me please watch a clear video about fish youtube media center indonesia advanced i am begging you,Positif,Positif
anies soal milih wakil leluasa usung ubah amp tolak ikn nasdem amp pkb tuju ae tuh ikn cak imin dukung jokowi 3 periode surya paloh kalau konstitusi mungkin juga bakal usung jokowi,"anies on the issue of electing representatives is free to push for changes & rejects the national democratic party and the pkb, i want to support jokowi for 3 terms, surya paloh, if there is a constitution, maybe jokowi will also be promoted",Positif,Positif
jelas first ikn the biggest problem nambahin utang negara jelas kalian mau pajak makin tinggi karna yang subsidi tidak jadi subsidi amin sini jelas sikap misi,"it's clear, first, the biggest problem is increasing the national debt. it's clear that you want higher taxes because subsidies don't become subsidies, amen. this is a clear mission stance.",Positif,Positif
jauh si banyak masalah ikn tapi kemarin sempat liat gagas anies pas desak anies jadi sama ngertii akhir buka pikir yang pindah juga tetep bingungg wkwk,"there's a lot of problems, but yesterday i saw anies' idea when he was pushing anies, so i understood and finally opened my mind and decided to move, but i'm still confused, hahaha",Negatif,Positif
ikn jadi pusat kembang budaya maju,ikn has become a center for the development of advanced culture,Positif,Positif
kalo orng paham skala prioritas bisa terima mudah kak tuh balas twit aku ttg urgensi ikn tetep bisa masuk dekat analisanya beda,"if people understand the priority scale, they can easily accept it, bro, reply to my tweet about fish urgency, it can still be included in the analysis, it's different.",Positif,Positif
temenku dukung 02 argumen pertama gamau ikn mangkrak sama banyak kaya ngelihat maju proyek mercusuar kaya gitu jadi susah counter bawa timpang bangun sama kata gibran anak muda perlu tahu gimana 01 lebih pro muda,"my friend supports 02 the first argument, i don't want to stall, it's like seeing progress on a lighthouse project like that, so it's difficult to counter, bring lame, wake up, according to gibran's words, young people need to know how 01 is more pro-young",Negatif,Positif
ubah apa orang ganjar bakal nerusin ikn,change what people are rewarded for and will continue to do it,Netral,Positif
the downfall of ikn usul lahan bangun sdh lanjur bangun jadi pusat teliti pangan hutan dunia lebih manfaat,the downfall of ikn's proposal for land to be built has become a world forest food research center with more benefits,Positif,Positif
gimana jelasinnya simpel kalau jelas ikn sudah anggar uunya ubah proyek tol baru mau bebas lahan  soal mungkin bawa teknis keburu jenuh ,"how can you explain it simply, if it's clear that the law has already been budgeted for changing the new toll road project to free up land, the problem is that it might lead to technical boredom.",Positif,Positif
justru ikn cpt progressnya memek istilah kata kerjasama antar negara kata jual negara gabisalah orang investasi nama yang puterin uang macam freeportlah kalo mau tunda tunda mau gimana anis mau lanjutin ikn masa ente ikut gsetuju,"in fact, ikn is progressing quickly, the term for cooperation between countries, the words selling the country, can't be done by people who invest in names that make money like freeport. if you want to postpone, what do you want to do, what do you want to do? if you want to continue, i agree.",Positif,Positif
kalau sy-nya paham cara pribadi malah lebih pesimis serta modal dari nggak jelas nggak paham psn kalau jelas ikn yang uu ubah cuma tol  situ sy langsung back down ,"if i understand personal methods, i'm even more pessimistic and i don't understand capital if i don't understand psn. if it's clear that what you're changing is just tolls, i'll immediately back down.",Positif,Positif
alas lengkap tuhh karena rencana mau lanjutin ikn kenapa anies mohon jelas,"the reason is complete, because the plan is to continue, why anies, please explain",Positif,Positif
kyknya orang indon uda ikhlas kalo food estate 2 0 uu ite 2 0 5subsidi bbm sama gas cabut pajak motor dinaikin buat tambal lrt kereta cepat ikn naikin gaji jabat program susu 400t yang ptg prabs presiden soal gemoy kasi,it seems like indonesians are willing to accept food estate 2 0 uu it,Positif,Positif
wkwkwk proyek rentan ladang korupsi lah otak kamu kan nyampe 40 kota udh hanya tinggal kembang lebih rata se indonesia krana memang udh banyk duduk situ ikn hutan belantara cm berapa duduk sana,"wow, the project is vulnerable to corruption, your brain has reached 40 cities, and it's only growing more evenly throughout indonesia, because there are already a lot of people sitting there, like wilderness, how many people are sitting there?",Positif,Positif
wkwkwk diitung sama ikn kata siapa anak ekonomi kan ya paham renstra ikn paham alur dana ikn fokus bahas masalah utang puluh ribu eh dibandinginnya sama ikn mosok akademisi asal nyeletuk opini kosong gin,"hahaha, if you count it the same way, who said economics kids understand strategic planning, understand the flow of funds, focus on discussing tens of thousands of debts, eh, compared to ikn, you're a mockery of academics just spouting empty opinions, right?",Positif,Positif
ganjar jelas komitmen terus ikn bansos luas prabowo-gibran solusi lanjut negeri ini,reward clearly prabowo-gibran's continued commitment to broad social assistance for further solutions in this country,Positif,Positif
ubah mana ganjar terus ikn bansos makin luas pilih cerdas lanjut nyata,"change the rewards and get wider social assistance, choose smart and real",Positif,Positif
kait isu global warming tentu ikn hrs dukung bgm bangun kota konsep ecogreen dlm infrastruktur gedung jalan sedia energi air bersih jaga udara lingkung kelola limbah dan kalah penting penabganan sdm,"related to the issue of global warming, of course we have to support how to build cities with an ecogreen concept in building infrastructure, roads, energy, clean water, maintaining environmental air, managing waste and the importance of human resource savings.",Positif,Positif
asal njeplos gatau arah ron nusron jelas ubah indonesia lebih baik maju lanjut ikn lanjut bansos sesuai bukan malah rang,"as long as it's clear, i don't know if ron nusron's direction is clear to change indonesia, it's better to move forward, continue social assistance according to not even rang",Positif,Positif
mbah bilang ubah ganjar tetap konsisten terus ikn bansos malah tambah cakup lanjut bisa andal,mbah said that changing the rewards remains consistent and the social assistance becomes even more comprehensive and can be reliable,Positif,Positif
aku 99 asal jawa dom jakpus jg k l pusat kloter 1 pindah ikn aku sih msh tolak realita mau pindah  mutualan bole lah,"i'm 99 from java and jakarta, also at the center of group 1 i'm moving, but i'm still rejecting the reality of wanting to move mutually, that's fine.",Positif,Positif
ganjar memang pilih tepat komitmen terus ikn bansos tetap jalan bahkan tingkat lanjut kita butuh,"reward is indeed choosing the right commitment to keep the social assistance going, even at the advanced level we need",Positif,Positif
ubah mana benar ron nusron ganjar-mahfud justru lanjut ikn lanjut bansos kurang,"change, where is it true that ron nusron ganjar-mahfud actually continues, ikn continues, social assistance is lacking",Positif,Positif
bandingin sama internet cobak banding sama ikn penting mana,"compare it with the internet, try to compare it with which information is important",Positif,Positif
jujur ak skeptis sama lanjut ikn ak susah percaya kalo pulau jawa bakal jadi bangun infrastruktur ya lama tau indo udh nyoba buat ngga jawa sentris tapi rasa kembang cuma pulau jawa doang,"to be honest, i'm skeptical and i'm having a hard time believing that the island of java will develop infrastructure, i know for a long time, indonesia has been trying to make it not java-centric, but i think it's only java that's developing.",Negatif,Positif
moga ada jegal kampanye harap ikn kelak bangun bangsa sendiri anak2 nanti bangun perlu keburu2 bangun sdm dulu,"i hope there will be failures in the campaign. i hope that in the future we will build our own nation. when the children wake up, they need to hurry up and build their education first",Positif,Positif
ikn gk urgent usah kesusu bangun sendiri ikn saat generasi kita telah siap usah ngandalin investor,"it's not urgent, you don't have to worry about building it yourself, but when our generation is ready, you don't have to rely on investors",Positif,Positif
titip tanya pak atas dasar saudara gibran percaya kalau ikn bentuk program perata adil indonesia,"just ask, sir, because brother gibran believes that this is a form of indonesia's fair leveling program",Positif,Positif
pak ganjar komitmen terus ikn lanjut bansos kurang justru tambah cakup perubaha ya bestiee hadeh,"sir, reward your continued commitment to continue the social assistance, it's less, it actually adds to the scope of change, bestiee hadeh",Negatif,Positif
debat cawapres sebentar tema sda sdm lingkung hidup masyarakat adat request dong cawapres2ku tema pas banget disangkungin sama sejahtera rakyat ikn utama buat cak imin bisa buat counter masalah tumpeng kemaren tuh,"short cawapres debate, the theme of natural resources and human resources, the environment of indigenous peoples, please request my cawapres, the theme is really fitting to be aligned with the welfare of the people, the main topic for cak imin can make a counter to yesterday's tumpeng problem.",Positif,Positif
izin tambahin kak uu ikn buat konsultasi dng publik investor jg udh ragu awal kait ikn sumber aku tonton tom lembong prnh jadi tri dagang indonesia amp kepala bkpn in case ragu orang ngmgnya cmiiw,permission to add sis uu ikn for consultations with the investing public also had doubts at first about ikn source i watched tom lembong previously became tri trade indonesia & head of bkpn in case of doubt people said cmiiw,Positif,Positif
nyuruh prof google investor asing ikn padahal bapak sendiri berita2 bilang bom sudah google bom sbg dukung ,"asked prof. google to google foreign investors, even though the father himself said in the news that it was a bomb, google bombed it as support",Negatif,Positif
soal ikn kita banding skala prioritas anggar besar agak lebih baik bangun jalur transportasi luar jawa kembang kota lain agar dapat bangun rata bangun kota baru 0,"regarding fish, let's compare the priority scale, it's better to build transportation routes outside java, develop other cities so that we can build new cities evenly 0",Positif,Positif
ikn sepi minat jokowi banyak antre perlu saring  sri mulyani bawaslu nadiem nguyen jepang nana mirdad capeklihat carajahat rumah batam hubner lap top towel malam minggu witan,"ikn jokowi's interest is low, lots of queues need filtering, sri mulyani bawaslu nadem nguyen japan, nana mirdad, tired of seeing evil ways, batam house, hubner, lap top towel, sunday night, witan",Negatif,Positif
masyarakat sana lelah terus sampai resah milik lama bangun ikn sayang sekarang belum temu titik terang lengkap baca bawah ini,"the people there are constantly tired to the point of being anxious about the old property of waking up, but it's a shame that now they haven't found a complete bright spot, read below",Positif,Positif
balik kata green city ikn benar ada masalah kompleks kena lingkung masyarakat adat sekitar,"behind the words green city, it is true that there are complex problems affecting the environment of local indigenous communities",Negatif,Positif
hal tarik bisa ulik topik2 kali salah satu bangun ikn emang sih,it's an interesting thing to be able to change topics every time one of them really wakes up,Positif,Positif
q kontra ikn a bukan aku jawa-sentris aku paham di jawa butuh infrastruktur cuman mending bangun kota udah saja ngapain bangun kota baru 0,"q cons i'm not java-centric, i understand that java needs infrastructure, but it's better to just build a city, why build a new city? 0",Positif,Positif
pak ganjar kan komitmen rua ikn jadi jangan mengada2 mulu ye,"sir, i will reward rua ikn's commitment, so don't make things up, okay?",Positif,Positif
pak ganjar komitmen lanjut ikn lanjut bansos ubah ndas mu ubah,"sir, reward your commitment to continue social assistance, change your ndas, change it",Positif,Positif
pak ganjar masihh komitmen terus ikn bansos ubah ndasmu,mr gangar is still committed to continuing social assistance to change your ndas,Positif,Positif
anies ngomong stop ikn cuma d tinjau ulang bantu jelasin juga dengan uu ikn d buat malam ada diskusi investasi kota bom jadi lebih berat dri investasi kota udah karena akan mulai 0,anies said stop ikn just review it and help explain also with the ikn law for the evening there will be a discussion on bomb city investment so it will be heavier than city investment already because it will start 0,Netral,Positif
iya mas ruu yang udah2 kan ruu di sahkan saja tempo singkat singkat nya kalo yang punya butuh desak contoh ikn,"yes sir, the bills that have already been passed will only be passed in a short time, if those who have them need to press for examples of ikn",Netral,Positif
klo masalah proyek infrastruktur sebenernya anies jg pny proyek infrastruktur ngembangin 40 kota udah dan efek jauh lebih masif dri ikn ekonomi karena ada pusat ekonomi baru,"in terms of infrastructure projects, anies also has infrastructure projects to develop 40 cities and the effects are much more massive than economic ones because there are new economic centers",Positif,Positif
kalo sih lebih jelas ttg perata bangun 40 kota tara jkt mana d rasa sama rakyat di lihatin rekam jejak pak anis pas d jkt udah bangun trus ikn cmn d satu tmpt saja yang nikmat bukan rakyat dana gede bgt,"if it's clearer about the leveling of the 40 cities of tara, jkt, where the people feel, look at mr. anis's track record when jkt has built it and then just putting it in one place is delicious, not the people, the funds are really big.",Positif,Positif
sampai lapang sepakbola ikn 8 biji ikn lebih bagus bikin bagi 8 lapang sepakbola tsb provinsi2 main langgan masuk timnas,"up to the ikn football field, 8 ikn seeds, it's better to share the 8 football fields for the provinces to play and join the national team",Positif,Positif
alil pas udah nyampe jkt liat postingan star tidak ken balik ke pesawat  udah bawain fron ikn nyata keduluan tiktok shop ,"alil, when i arrived in jakarta, saw star's post, i didn't want to get back on the plane, i brought the real ikn front first, tiktok shop",Positif,Positif
jadi kalo bom baik tunggu gabisa lah masing2 pegang kartu as terus2an musuh ikn depan mata infrastruktur proyek paling becyek buat korup proyek ribu triliun ughh masa yang mau tinggal gerudukan,"so, if the bomb is good, you can't wait, you can't each hold an ace card, the enemy will always be right in front of your eyes, the worst project infrastructure for corrupting the thousand trillion project, ughh, who wants to just muddle along?",Positif,Positif
kalo sih lebih ikn rasa bukan rakyat biaya nya gede banget lebih baik dana nya buat perata bangun 40 kota yang tara jakarta d jaman pak anis,"if you don't feel like it's the people, the costs are really big, it's better if the funds are used to level the 40 cities that were in jakarta during pak anis' era.",Positif,Positif
ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis ganjar-mahfud lanjut bansos menggurang justru tambah cakup,reward commitment to continue ikn continue social assistance,Positif,Positif
surya paloh maupun cak imin bagi rezim bilang pion jokowi jg asli anies jadi jg ikn mah ttp jalan program2 strategis nasional lain jg jelas beda mah porsi bagi2 jabat macem bakal metri nasdem pks pkb timsesnya,"surya paloh and cak imin for the regime say that jokowi's pawn is also from anies, so it's also true that the implementation of other national strategic programs is also clearly different, the portions for various positions will be the nasdem pks pkb timses",Positif,Positif
sdh jurnalis informasi motif benar paslon belah mulai proyek ikn bangun kcic ujung2nya subsidi pajak motor bensin yang dampak langsung rasa rakyat kecil ,"the journalist has provided information on the correct motives of the candidate pairs, starting the ikn project to build kcic. the end result is a tax subsidy on petrol motorbikes which has a direct impact on the feelings of the little people.",Negatif,Positif
ubah mbah ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis ganjar-mahfud lanjut bansos menggurang justru tambah cakup,change mbah reward commitment continue ikn continue social assistance nusron says reallocate social assistance funds for free meals gangar-mahfud continue social assistance reduces but actually increases coverage,Positif,Positif
ubah mbah mu pak ganjar komitmen terus ikn masih lanjut bansos kurang justru tambah cakup,"change your sis, sir, reward your commitment and continue, but the social assistance continues to be less than it is, in fact, it is becoming more comprehensive",Positif,Positif
makan siang gratis ajar dana 400t per tahun belanja negara 2023 3000t mau ngambil sektor mana tahan jamin naek why anggar kemenhan tinggi dia jabat bom anggar ikn,"free lunch and teaching fund 400t per year state expenditure 2023 3000t what sector will you take, guarantee it will increase why is the ministry of defense fencing high, he holds the ikn fencing bomb",Positif,Positif
nambah utang lagi impor sapi mikir ikn lagi giant sea wall ya,"add more debt to import cattle, think about giant sea wall fish again",Positif,Positif
lama ikn amp kcic mau dijalanin terus siap2 ngelihat kacau akademik ptn kaya gin terus,it's been a long time since i've been running kcic and i'm ready to see ptn's academic chaos like gin continues,Positif,Positif
parrah udah ajak diskusi perihal ikn sesuai tuju perata ujung2nya selalu balikin anies tuh belakang habib2 ,"parrah has invited me to discuss fish according to the aim of the flatter, in the end he always returns anies to habib2",Netral,Positif
soal ikn blh banget orang mikir kalo ikn program bagus maslahat bangsa ketika prioritas mundur sama gimana cara yakin orang kalo dinasti perintah skrg bagus karena imej mata dukung udah kayak kerja tuhan,"regarding fish, people really don't think that fish is a good program for the benefit of the nation when priorities are set aside, how can people be sure that the current ruling dynasty is good because the image of the people supporting it is like the work of god",Positif,Positif
kayak turut bakal lebih bijak deh biss buat politis entah ikn cemar udara kalo konsrrvasi aku pribadi bakal jarang bahas ya,"it seems like it would also be wiser for politics, whether it's air pollution or conservation, i personally would rarely talk about it, right?",Positif,Positif
rakyat pulau kalimantan dukung ikn arti rakyat nya terasut kelompok elit elit jahil ada pusat pulau jawa bangga 78 thn indonesia merdeka jadi pulau kalimantan jadi ikn indonesia timur thn 2024 hutri 79 upacara ikn,"the people of the island of kalimantan support ikn, which means that the people are part of the elite group, the ignorant elite, there is a center on the island of java, proud of 78 years of indonesia's independence, so the island of kalimantan becomes ikn, east indonesia in 2024, hutri 79, ikn ceremony",Positif,Positif
smg ikn lanjut pak ganjar 2 kali dukung bapak kali harus dukung ganjar akhir jabat bapak nampak jalan spt dulu sangat sayang,"i hope you will continue sir, reward twice, support you, sir, you have to support the reward at the end of your term, sir, you seem to be walking like before, very dear",Positif,Positif
bandingin gitu ki si investor ikn keluar masuk juang demokrasi sungguh,"compare that to how investors are in and out of the struggle for democracy, really",Positif,Positif
400t buat makan siang duit dri cuma jadi ngutang bengkak blum ngrus ikn jelas mnding 40 kota bangun ekonomi kalau trwujud smua kota ngehasilin uang buat warga skitar bangun kota hrus infrastruktur kamu tenaga buku ajar dri pusat pada pinter,"400t for lunch, the money from it is just a big debt, it hasn't been taken care of, it's clear that 40 cities will build the economy if it happens, all the cities will make money for local residents, building the city must have your infrastructure, textbooks from the center will be smart",Positif,Positif
tanya maruarar uang darimana dapetin proyek ikn itu jadi menteri kaya dadak yang tau  jokowi efek,maruarar asked where he got the money from for the fish project and suddenly became a rich minister who knew jokowi's effects,Positif,Positif
5 anies stop ikn padahal udh invest d situ 6 anies stop hilir 7 ada perlu ubah skrg jdi ngapain canang ubah 8 suka 01 d dukung pks yang notabene partai islam konservatif,5 anies stops ikn even though he has already invested there 6 anies stops downstream 7 there is a need to change now so why do you want to change 8 likes 01 d supports pks which is actually a conservative islamic party,Netral,Positif
singgung 1 ikn kata simbol perata kalimantan butuh simbol transportasi 2 kalo perata bangun kalimamtan yang bangun bangun jalur kereta tiap pulau bukti mainland efektif perata logistik,"tangent 1 ikn words kalimantan leveling symbols need transportation symbols 2 if the leveling system is built in kalimantan, those who build train lines for each island are proof that the mainland is effective in logistics leveling",Positif,Positif
do i ngarep banget jadi ketua otorita ikn,i really hope to become chairman of the ikn authority,Positif,Positif
nonton desak anies bang anies tanya soal proyek sekarang jalan masuk ikn jawab tidak 100 henti atur skala prioritas nya dia lebih prioritas sehat didik lapang kerja pokok 40 kota dipush,"watch urgent anies, bang anies, ask about the current project, enter, answer no, 100 stop, set the priority scale, he prioritizes, healthy, education, field, basic work, 40 cities pushed",Positif,Positif
kalau saya ikn akan jadi tempat jokowi senang senang anak jadi wapres,"if i did, it would be a place where jokowi would be happy if his son became vice president",Positif,Positif
